paper_unit,paper_id,study_id,source,org_level,genus,species,temp,temp_units,response_def,response_value,response_units ,gas,gas_unit,mass/area,time,error,error_type,sample_size,realm,exp_design,time_point,time_units,add_trt,add_value,ppfd,avg_ppfd,ppfd_units,metabolic_category,latitude,latitude_broad,cnidarian_type,avg_depth_m,depth_m
2,nakamura2003,nakamura2003,figure 2a,pop,Acropora,pruinosa,14,C,net photosynthesis,38.47253002,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,4.045910098,SD,6,M,lab,,,season,winter,400,400,umol m^-2  s^-1,npp,34.36,,hermatypic coral,3.5,4-Mar
2,nakamura2003,nakamura2003,figure 2a,pop,Acropora,pruinosa,16,C,net photosynthesis,43.64105448,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,3.862005094,SD,6,M,lab,,,season,winter,400,400,umol m^-2  s^-1,npp,34.36,,hermatypic coral,3.5,4-Mar
2,nakamura2003,nakamura2003,figure 2a,pop,Acropora,pruinosa,18,C,net photosynthesis,46.60205735,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,2.206860054,SD,6,M,lab,,,season,winter,400,400,umol m^-2  s^-1,npp,34.36,,hermatypic coral,3.5,4-Mar
2,nakamura2003,nakamura2003,figure 2a,pop,Acropora,pruinosa,20,C,net photosynthesis,49.5623987,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,4.413720107,SD,6,M,lab,,,season,winter,400,400,umol m^-2  s^-1,npp,34.36,,hermatypic coral,3.5,4-Mar
2,nakamura2003,nakamura2003,figure 2a,pop,Acropora,pruinosa,22,C,net photosynthesis,56.75321668,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,10.11543677,SD,6,M,lab,,,season,winter,400,400,umol m^-2  s^-1,npp,34.36,,hermatypic coral,3.5,4-Mar
2,nakamura2003,nakamura2003,figure 2a,pop,Acropora,pruinosa,24,C,net photosynthesis,61.3693646,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,7.724010188,SD,6,M,lab,,,season,winter,400,400,umol m^-2  s^-1,npp,34.36,,hermatypic coral,3.5,4-Mar
2,nakamura2003,nakamura2003,figure 2a,pop,Acropora,pruinosa,26,C,net photosynthesis,60.83683392,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,7.539443654,SD,6,M,lab,,,season,winter,400,400,umol m^-2  s^-1,npp,34.36,,hermatypic coral,3.5,4-Mar
2,nakamura2003,nakamura2003,figure 2a,pop,Acropora,pruinosa,28,C,net photosynthesis,57.91221513,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,9.012006748,SD,6,M,lab,,,season,winter,400,400,umol m^-2  s^-1,npp,34.36,,hermatypic coral,3.5,4-Mar
2,nakamura2003,nakamura2003,figure 2a,pop,Acropora,pruinosa,30,C,net photosynthesis,44.3217676,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,5.701716667,SD,6,M,lab,,,season,winter,400,400,umol m^-2  s^-1,npp,34.36,,hermatypic coral,3.5,4-Mar
3,nakamura2003,nakamura2003,figure 2f,pop,Acropora,pruinosa,12,C,respiration,-5.391705069,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,2.211981567,SD,6,M,lab,,,season,summer,0,0,umol m^-2  s^-1,r,34.36,,hermatypic coral,3.5,4-Mar
3,nakamura2003,nakamura2003,figure 2f,pop,Acropora,pruinosa,14,C,respiration,-8.341013825,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,2.211981567,SD,6,M,lab,,,season,summer,0,0,umol m^-2  s^-1,r,34.36,,hermatypic coral,3.5,4-Mar
