paper_unit,paper_id,study_id,source,org_level,genus,species,temp,temp_units,response_def,response_value,response_units,gas_units,mass/area,time,error,error_type,sample_size,realm,exp_design,time_point,time_units,add_trt,add_value,ppfd,avg_ppfd,ppfd_units,metabolic_category,latitude,latitude_broad,cnidarian_type,avg_depth_m,depth_m,broad_coral,npp_value,r_value,gpp_value,npp_error,r_error,gpp_error,n
10,kemp2011,kemp2011,figure 5a,pop,Siderastrea,siderea,12,C,gross photosynthesis,0.08,mg O2 min^-1 cm^-2,mg_o2,cm^2,min,0.04,95% CI,NA,M,lab,NA,NA,location,offshore,400-450,425,umol m^-2  s^-1,gpp,24.84,NA,hermatypic coral,3.5,4-Mar,hard,,0.060061602,0.08,,0.048973306,0.04,
11,kemp2011,kemp2011,figure 5a,pop,Porites,astreoides,20,C,gross photosynthesis,0.505,mg O2 min^-1 cm^-2,mg_o2,cm^2,min,0.038333333,95% CI,NA,M,lab,NA,NA,location,offshore,400-450,425,umol m^-2  s^-1,gpp,24.84,NA,hermatypic coral,3.5,4-Mar,hard,,0.317864476,0.505,,0.031416838,0.038333333,
11,kemp2011,kemp2011,figure 5a,pop,Porites,astreoides,16,C,gross photosynthesis,0.485,mg O2 min^-1 cm^-2,mg_o2,cm^2,min,0.048333333,95% CI,NA,M,lab,NA,NA,location,offshore,400-450,425,umol m^-2  s^-1,gpp,24.84,NA,hermatypic coral,3.5,4-Mar,hard,,0.263347023,0.485,,0.087782341,0.048333333,
11,kemp2011,kemp2011,figure 5a,pop,Porites,astreoides,12,C,gross photosynthesis,0.086666667,mg O2 min^-1 cm^-2,mg_o2,cm^2,min,0.033333333,95% CI,NA,M,lab,NA,NA,location,offshore,400-450,425,umol m^-2  s^-1,gpp,24.84,NA,hermatypic coral,3.5,4-Mar,hard,,0.065605749,0.086666667,,0.050821355,0.033333333,
12,kemp2011,kemp2011,figure 5a,pop,Montastraea,faveolata,20,C,gross photosynthesis,0.53,mg O2 min^-1 cm^-2,mg_o2,cm^2,min,0.1,95% CI,NA,M,lab,NA,NA,location,offshore,400-450,425,umol m^-2  s^-1,gpp,24.84,NA,hermatypic coral,3.5,4-Mar,hard,,0.269815195,0.53,,0.03788501,0.1,
12,kemp2011,kemp2011,figure 5a,pop,Montastraea,faveolata,16,C,gross photosynthesis,0.276666667,mg O2 min^-1 cm^-2,mg_o2,cm^2,min,0.066666667,95% CI,NA,M,lab,NA,NA,location,offshore,400-450,425,umol m^-2  s^-1,gpp,24.84,NA,hermatypic coral,3.5,4-Mar,hard,,0.040657084,0.276666667,,0.067453799,0.066666667,
12,kemp2011,kemp2011,figure 5a,pop,Montastraea,faveolata,12,C,gross photosynthesis,0.043333333,mg O2 min^-1 cm^-2,mg_o2,cm^2,min,0.043333333,95% CI,NA,M,lab,NA,NA,location,offshore,400-450,425,umol m^-2  s^-1,gpp,24.84,NA,hermatypic coral,1.5,2-Jan,hard,,0.035112936,0.043333333,,0.033264887,0.043333333,
3,samiei2015,samiei2015,figure 2a,pop,Acropora,downingi,20.2,C,net photosynthesis,0.118,mg O2 l^-1 min^-1,mg_o2,l,hr,0.032,SEM,3,M,lab,NA,NA,NA,NA,120,120,umol m^-2  s^-1,npp,26.64525131,NA,hermatypic coral,4,4,hard,0.118,0.043,,0.032,0.017,,3
3,samiei2015,samiei2015,figure 2a,pop,Acropora,downingi,23,C,net photosynthesis,0.127,mg O2 l^-1 min^-1,mg_o2,l,hr,0.032,SEM,3,M,lab,NA,NA,NA,NA,120,120,umol m^-2  s^-1,npp,26.64525131,NA,hermatypic coral,4,4,hard,0.127,0.068,,0.032,0.017,,3
3,samiei2015,samiei2015,figure 2a,pop,Acropora,downingi,32,C,net photosynthesis,0.12,mg O2 l^-1 min^-1,mg_o2,l,hr,0.023,SEM,3,M,lab,NA,NA,NA,NA,120,120,umol m^-2  s^-1,npp,26.64525131,NA,hermatypic coral,4,4,hard,0.12,0.108,,0.023,0.012,,3
3,samiei2015,samiei2015,figure 2a,pop,Acropora,downingi,34.2,C,net photosynthesis,0.055,mg O2 l^-1 min^-1,mg_o2,l,hr,0.023,SEM,3,M,lab,NA,NA,NA,NA,120,120,umol m^-2  s^-1,npp,26.64525131,NA,hermatypic coral,4,4,hard,0.055,0.134,,0.023,0.012,,3
3,juillet-leclerc2014,juillet-leclerc2014,figure 2a,pop,Acropora,sp.,22,C,net photosynthesis,0.298963731,umol O2 cm^-2 s^-1,umol_o2,cm^2,sec,0.085492228,SEM,6,M,lab,NA,NA,NA,NA,400,400,umol m^-2  s^-1,npp,43.7328,NA,hermatypic coral,3.5,4-Mar,hard,0.298963731,-0.416321244,,0.085492228,0.045595855,,6
3,juillet-leclerc2014,juillet-leclerc2014,figure 2a,pop,Acropora,sp.,25,C,net photosynthesis,0.458549223,umol O2 cm^-2 s^-1,umol_o2,cm^2,sec,0.094041451,SEM,6,M,lab,NA,NA,NA,NA,400,400,umol m^-2  s^-1,npp,43.7328,NA,hermatypic coral,3.5,4-Mar,hard,0.458549223,-0.718393782,,0.094041451,0.173834197,,6
3,juillet-leclerc2014,juillet-leclerc2014,figure 2a,pop,Acropora,sp.,28,C,net photosynthesis,0.703626943,umol O2 cm^-2 s^-1,umol_o2,cm^2,sec,0.290673575,SEM,6,M,lab,NA,NA,NA,NA,400,400,umol m^-2  s^-1,npp,43.7328,NA,hermatypic coral,3.5,4-Mar,hard,0.703626943,-0.977720207,,0.290673575,0.169559585,,6
3,rodolfo-metalpa2006,rodolfo-metalpa2006,figure 3c,pop,Cladocora,caespitosa,20,C,respiration,-4.863157895,ug O2 ug chla^-1 h^-1,ug_o2,chla,hr,0.110526316,SEM,6,M,lab,0,days,NA,NA,0,0,umol m^-2  s^-1,r,44.03,NA,hermatypic coral,7,7,hard,1.876923077,-4.863157895,,0.110526316,0.138461538,,6
3,rodolfo-metalpa2006,rodolfo-metalpa2006,figure 3c,pop,Cladocora,caespitosa,24,C,respiration,-4.515789474,ug O2 ug chla^-1 h^-1,ug_o2,chla,hr,0.236842105,SEM,6,M,lab,0,days,NA,NA,0,0,umol m^-2  s^-1,r,44.03,NA,hermatypic coral,7,7,hard,1.630769231,-4.515789474,,0.236842105,0.2,,6
3,rodolfo-metalpa2006,rodolfo-metalpa2006,figure 3c,pop,Cladocora,caespitosa,26,C,respiration,-4.736842105,ug O2 ug chla^-1 h^-1,ug_o2,chla,hr,0.173684211,SEM,6,M,lab,0,days,NA,NA,0,0,umol m^-2  s^-1,r,44.03,NA,hermatypic coral,7,7,hard,1.907692308,-4.736842105,,0.173684211,0.138461538,,6
3,rodolfo-metalpa2006,rodolfo-metalpa2006,figure 3c,pop,Cladocora,caespitosa,28,C,respiration,-4.894736842,ug O2 ug chla^-1 h^-1,ug_o2,chla,hr,0.157894737,SEM,6,M,lab,0,days,NA,NA,0,0,umol m^-2  s^-1,r,44.03,NA,hermatypic coral,7,7,hard,1.630769231,-4.894736842,,0.157894737,0.169230769,,6
3,higuchi2015,higuchi2015,table 1,pop,Acropora,pruinosa,23,C,gross production,8.3,umol cm^-2 hr^-1,umol_o2,cm^2,hr,0.8,SEM,3,M,lab,NA,NA,NA,NA,100,100,umol m^-2  s^-1,gpp,33.9481,NA,hermatypic coral,2,2,hard,,6.1,8.3,,0.7,0.8,3
3,higuchi2015,higuchi2015,table 1,pop,Acropora,pruinosa,18,C,gross production,11.9,umol cm^-2 hr^-1,umol_o2,cm^2,hr,0.8,SEM,3,M,lab,NA,NA,NA,NA,100,100,umol m^-2  s^-1,gpp,33.9481,NA,hermatypic coral,2,2,hard,,7.3,11.9,,0.9,0.8,3
3,higuchi2015,higuchi2015,table 1,pop,Acropora,pruinosa,13,C,gross production,3,umol cm^-2 hr^-1,umol_o2,cm^2,hr,1,SEM,3,M,lab,NA,NA,NA,NA,100,100,umol m^-2  s^-1,gpp,33.9481,NA,hermatypic coral,2,2,hard,,0.5,3,,0.3,1,3
7,bahr2018,bahr2018,figure 1a,pop,Leptastrea,purpurea,23,C,net photosynthesis,0.050524109,mg O2 g CaCO3 h^−1,mg_o2,g CaCO3,hr,0.00293501,SEM,10,M,lab,NA,NA,pH,8,500,500,umol m^-2  s^-1,npp,21.4,NA,hermatypic coral,4,4,hard,0.050524109,0.024757895,,0.00293501,0.001389474,,10
7,bahr2018,bahr2018,figure 1a,pop,Leptastrea,purpurea,26,C,net photosynthesis,0.047589099,mg O2 g CaCO3 h^−1,mg_o2,g CaCO3,hr,0.002096436,SEM,10,M,lab,NA,NA,pH,8,500,500,umol m^-2  s^-1,npp,21.4,NA,hermatypic coral,4,4,hard,0.047589099,0.026526316,,0.002096436,0.002905263,,10
7,bahr2018,bahr2018,figure 1a,pop,Leptastrea,purpurea,30,C,net photosynthesis,0.037945493,mg O2 g CaCO3 h^−1,mg_o2,g CaCO3,hr,0.007337526,SEM,10,M,lab,NA,NA,pH,8,500,500,umol m^-2  s^-1,npp,21.4,NA,hermatypic coral,4,4,hard,0.037945493,0.031831579,,0.007337526,0.0024,,10
8,bahr2018,bahr2018,figure 1a,pop,Montipora,capitata,23,C,net photosynthesis,0.05932914,mg O2 g CaCO3 h^−1,mg_o2,g CaCO3,hr,0.004192872,SEM,10,M,lab,NA,NA,pH,8,500,500,umol m^-2  s^-1,npp,21.4,NA,hermatypic coral,4,4,hard,0.05932914,0.034610526,,0.004192872,0.002778947,,10
8,bahr2018,bahr2018,figure 1a,pop,Montipora,capitata,26,C,net photosynthesis,0.050943396,mg O2 g CaCO3 h^−1,mg_o2,g CaCO3,hr,0.003144654,SEM,10,M,lab,NA,NA,pH,8,500,500,umol m^-2  s^-1,npp,21.4,NA,hermatypic coral,4,4,hard,0.050943396,0.035368421,,0.003144654,0.0048,,10
8,bahr2018,bahr2018,figure 1a,pop,Montipora,capitata,30,C,net photosynthesis,0.051781971,mg O2 g CaCO3 h^−1,mg_o2,g CaCO3,hr,0.006289308,SEM,10,M,lab,NA,NA,pH,8,500,500,umol m^-2  s^-1,npp,21.4,NA,hermatypic coral,4,4,hard,0.051781971,0.040673684,,0.006289308,0.001957895,,10
9,bahr2018,bahr2018,figure 1a,pop,Pocillopora,damicornis,23,C,net photosynthesis,0.048427673,mg O2 g CaCO3 h^−1,mg_o2,g CaCO3,hr,0.003773585,SEM,10,M,lab,NA,NA,pH,8,500,500,umol m^-2  s^-1,npp,21.4,NA,hermatypic coral,4,4,hard,0.048427673,0.025768421,,0.003773585,0.003031579,,10
9,bahr2018,bahr2018,figure 1a,pop,Pocillopora,damicornis,26,C,net photosynthesis,0.040041929,mg O2 g CaCO3 h^−1,mg_o2,g CaCO3,hr,0.005031447,SEM,10,M,lab,NA,NA,pH,8,500,500,umol m^-2  s^-1,npp,21.4,NA,hermatypic coral,4,4,hard,0.040041929,0.029305263,,0.005031447,0.003157895,,10
9,bahr2018,bahr2018,figure 1a,pop,Pocillopora,damicornis,30,C,net photosynthesis,0.043396226,mg O2 g CaCO3 h^−1,mg_o2,g CaCO3,hr,0.007337526,SEM,10,M,lab,NA,NA,pH,8,500,500,umol m^-2  s^-1,npp,21.4,NA,hermatypic coral,4,4,hard,0.043396226,0.041178947,,0.007337526,0.002021053,,10
5,godefroid2023,godefroid2023,figure 2a,pop,Pachyseris,speciosa,23,C,dark respiration,0.085588235,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.006176471,SEM,5,M,lab,NA,NA,NA,NA,0,0,umol m^-2  s^-1,r,-17.28,NA,hermatypic coral,25,25,hard,0.255319149,0.085588235,,0.016489362,0.006176471,,5
5,godefroid2023,godefroid2023,figure 2a,pop,Pachyseris,speciosa,24,C,dark respiration,0.083823529,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.012352941,SEM,5,M,lab,NA,NA,NA,NA,0,0,umol m^-2  s^-1,r,-17.28,NA,hermatypic coral,25,25,hard,0.234042553,0.083823529,,0.014893617,0.012352941,,5
5,godefroid2023,godefroid2023,figure 2a,pop,Pachyseris,speciosa,25,C,dark respiration,0.110294118,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.007941176,SEM,5,M,lab,NA,NA,NA,NA,0,0,umol m^-2  s^-1,r,-17.28,NA,hermatypic coral,25,25,hard,0.219148936,0.110294118,,0.022340426,0.007941176,,5
5,godefroid2023,godefroid2023,figure 2a,pop,Pachyseris,speciosa,26,C,dark respiration,0.127941176,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.007058824,SEM,5,M,lab,NA,NA,NA,NA,0,0,umol m^-2  s^-1,r,-17.28,NA,hermatypic coral,25,25,hard,0.20106383,0.127941176,,0.020744681,0.007058824,,5
5,godefroid2023,godefroid2023,figure 2a,pop,Pachyseris,speciosa,27,C,dark respiration,0.131470588,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.007941176,SEM,5,M,lab,NA,NA,NA,NA,0,0,umol m^-2  s^-1,r,-17.28,NA,hermatypic coral,25,25,hard,0.174468085,0.131470588,,0.015957447,0.007941176,,5
5,godefroid2023,godefroid2023,figure 2a,pop,Pachyseris,speciosa,28,C,dark respiration,0.124411765,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.007058824,SEM,5,M,lab,NA,NA,NA,NA,0,0,umol m^-2  s^-1,r,-17.28,NA,hermatypic coral,25,25,hard,0.172340426,0.124411765,,0.024468085,0.007058824,,5
5,godefroid2023,godefroid2023,figure 2a,pop,Pachyseris,speciosa,29,C,dark respiration,0.132352941,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.009705882,SEM,5,M,lab,NA,NA,NA,NA,0,0,umol m^-2  s^-1,r,-17.28,NA,hermatypic coral,25,25,hard,0.169148936,0.132352941,,0.025,0.009705882,,5
5,godefroid2023,godefroid2023,figure 2a,pop,Pachyseris,speciosa,30,C,dark respiration,0.143823529,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.007058824,SEM,5,M,lab,NA,NA,NA,NA,0,0,umol m^-2  s^-1,r,-17.28,NA,hermatypic coral,25,25,hard,0.159574468,0.143823529,,0.021276596,0.007058824,,5
5,godefroid2023,godefroid2023,figure 2a,pop,Pachyseris,speciosa,31,C,dark respiration,0.154411765,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.006176471,SEM,5,M,lab,NA,NA,NA,NA,0,0,umol m^-2  s^-1,r,-17.28,NA,hermatypic coral,25,25,hard,0.163829787,0.154411765,,0.018085106,0.006176471,,5
5,godefroid2023,godefroid2023,figure 2a,pop,Pachyseris,speciosa,32,C,dark respiration,0.168529412,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.008823529,SEM,5,M,lab,NA,NA,NA,NA,0,0,umol m^-2  s^-1,r,-17.28,NA,hermatypic coral,25,25,hard,0.122340426,0.168529412,,0.028723404,0.008823529,,5
6,godefroid2023,godefroid2023,figure 2b,pop,Pachyseris,speciosa,23,C,dark respiration,0.02920354,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.004424779,SEM,5,M,lab,NA,NA,NA,NA,0,0,umol m^-2  s^-1,r,-17.28,NA,hermatypic coral,85,85,hard,-0.023487544,0.02920354,,0.005871886,0.004424779,,5
6,godefroid2023,godefroid2023,figure 2b,pop,Pachyseris,speciosa,24,C,dark respiration,0.028318584,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.005309735,SEM,5,M,lab,NA,NA,NA,NA,0,0,umol m^-2  s^-1,r,-17.28,NA,hermatypic coral,85,85,hard,-0.026690391,0.028318584,,0.00747331,0.005309735,,5
6,godefroid2023,godefroid2023,figure 2b,pop,Pachyseris,speciosa,25,C,dark respiration,0.037168142,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.004867257,SEM,5,M,lab,NA,NA,NA,NA,0,0,umol m^-2  s^-1,r,-17.28,NA,hermatypic coral,85,85,hard,-0.026690391,0.037168142,,0.006405694,0.004867257,,5
6,godefroid2023,godefroid2023,figure 2b,pop,Pachyseris,speciosa,26,C,dark respiration,0.042477876,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.005309735,SEM,5,M,lab,NA,NA,NA,NA,0,0,umol m^-2  s^-1,r,-17.28,NA,hermatypic coral,85,85,hard,-0.035231317,0.042477876,,0.00747331,0.005309735,,5
6,godefroid2023,godefroid2023,figure 2b,pop,Pachyseris,speciosa,27,C,dark respiration,0.042477876,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.004867257,SEM,5,M,lab,NA,NA,NA,NA,0,0,umol m^-2  s^-1,r,-17.28,NA,hermatypic coral,85,85,hard,-0.035231317,0.042477876,,0.003736655,0.004867257,,5
6,godefroid2023,godefroid2023,figure 2b,pop,Pachyseris,speciosa,28,C,dark respiration,0.047787611,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.004867257,SEM,5,M,lab,NA,NA,NA,NA,0,0,umol m^-2  s^-1,r,-17.28,NA,hermatypic coral,85,85,hard,-0.029893238,0.047787611,,0.004270463,0.004867257,,5
6,godefroid2023,godefroid2023,figure 2b,pop,Pachyseris,speciosa,29,C,dark respiration,0.056637168,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.006637168,SEM,5,M,lab,NA,NA,NA,NA,0,0,umol m^-2  s^-1,r,-17.28,NA,hermatypic coral,85,85,hard,-0.027758007,0.056637168,,0.004270463,0.006637168,,5
6,godefroid2023,godefroid2023,figure 2b,pop,Pachyseris,speciosa,30,C,dark respiration,0.061946903,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.00619469,SEM,5,M,lab,NA,NA,NA,NA,0,0,umol m^-2  s^-1,r,-17.28,NA,hermatypic coral,85,85,hard,-0.034163701,0.061946903,,0.005871886,0.00619469,,5
6,godefroid2023,godefroid2023,figure 2b,pop,Pachyseris,speciosa,31,C,dark respiration,0.067256637,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.007079646,SEM,5,M,lab,NA,NA,NA,NA,0,0,umol m^-2  s^-1,r,-17.28,NA,hermatypic coral,85,85,hard,-0.039501779,0.067256637,,0.005338078,0.007079646,,5
6,godefroid2023,godefroid2023,figure 2b,pop,Pachyseris,speciosa,32,C,dark respiration,0.07699115,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.007964602,SEM,5,M,lab,NA,NA,NA,NA,0,0,umol m^-2  s^-1,r,-17.28,NA,hermatypic coral,85,85,hard,-0.04911032,0.07699115,,0.005338078,0.007964602,,5
3,hill2014,hill2014,figure 7a,pop,Pocillopora,damicornis,26,C,net primary production,0.647230321,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.177259475,SEM,4,M,lab,3,hr,NA,NA,600,600,umol m^-2  s^-1,npp,-23.27,NA,hermatypic coral,3.25,3-3.5,hard,0.647230321,-0.288046647,,0.177259475,0.088629738,,3
3,hill2014,hill2014,figure 7a,pop,Pocillopora,damicornis,30,C,net primary production,0.560932945,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.037317784,SEM,4,M,lab,3,hr,NA,NA,600,600,umol m^-2  s^-1,npp,-23.27,NA,hermatypic coral,3.25,3-3.5,hard,0.560932945,-0.227405248,,0.037317784,0.027988338,,3
3,hill2014,hill2014,figure 7a,pop,Pocillopora,damicornis,31,C,net primary production,0.549271137,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.179591837,SEM,4,M,lab,3,hr,NA,NA,600,600,umol m^-2  s^-1,npp,-23.27,NA,hermatypic coral,3.25,3-3.5,hard,0.549271137,-0.339358601,,0.179591837,0.074635569,,3
