paper_unit,paper_id,study_id,source,org_level,genus,species,temp,temp_units,response_def,response_value,response_units,gas_units,mass/area,time,error,error_type,sample_size,realm,exp_design,time_point,time_units,add_trt,add_value,ppfd,avg_ppfd,ppfd_units,metabolic_category,latitude,latitude_broad,cnidarian_type,avg_depth_m,depth_m,broad_coral,npp_value,r_value,gpp_value,npp_error,r_error,gpp_error,n
2,kemp2011,kemp2011,figure 5a,pop,Siderastrea,siderea,12,C,gross photosynthesis,0.08,mg O2 min^-1 cm^-2,mg_o2,cm^2,min,0.04,95% CI,NA,M,lab,NA,NA,location,offshore,400-450,425,umol m^-2  s^-1,gpp,24.84,NA,hermatypic coral,3.5,4-Mar,hard,,0.060061602,0.08,,0.048973306,0.04,
3,kemp2011,kemp2011,figure 5a,pop,Porites,astreoides,20,C,gross photosynthesis,0.505,mg O2 min^-1 cm^-2,mg_o2,cm^2,min,0.038333333,95% CI,NA,M,lab,NA,NA,location,offshore,400-450,425,umol m^-2  s^-1,gpp,24.84,NA,hermatypic coral,3.5,4-Mar,hard,,0.317864476,0.505,,0.031416838,0.038333333,
3,kemp2011,kemp2011,figure 5a,pop,Porites,astreoides,16,C,gross photosynthesis,0.485,mg O2 min^-1 cm^-2,mg_o2,cm^2,min,0.048333333,95% CI,NA,M,lab,NA,NA,location,offshore,400-450,425,umol m^-2  s^-1,gpp,24.84,NA,hermatypic coral,3.5,4-Mar,hard,,0.263347023,0.485,,0.087782341,0.048333333,
3,kemp2011,kemp2011,figure 5a,pop,Porites,astreoides,12,C,gross photosynthesis,0.086666667,mg O2 min^-1 cm^-2,mg_o2,cm^2,min,0.033333333,95% CI,NA,M,lab,NA,NA,location,offshore,400-450,425,umol m^-2  s^-1,gpp,24.84,NA,hermatypic coral,3.5,4-Mar,hard,,0.065605749,0.086666667,,0.050821355,0.033333333,
4,kemp2011,kemp2011,figure 5a,pop,Montastraea,faveolata,20,C,gross photosynthesis,0.53,mg O2 min^-1 cm^-2,mg_o2,cm^2,min,0.1,95% CI,NA,M,lab,NA,NA,location,offshore,400-450,425,umol m^-2  s^-1,gpp,24.84,NA,hermatypic coral,3.5,4-Mar,hard,,0.269815195,0.53,,0.03788501,0.1,
4,kemp2011,kemp2011,figure 5a,pop,Montastraea,faveolata,16,C,gross photosynthesis,0.276666667,mg O2 min^-1 cm^-2,mg_o2,cm^2,min,0.066666667,95% CI,NA,M,lab,NA,NA,location,offshore,400-450,425,umol m^-2  s^-1,gpp,24.84,NA,hermatypic coral,3.5,4-Mar,hard,,0.040657084,0.276666667,,0.067453799,0.066666667,
4,kemp2011,kemp2011,figure 5a,pop,Montastraea,faveolata,12,C,gross photosynthesis,0.043333333,mg O2 min^-1 cm^-2,mg_o2,cm^2,min,0.043333333,95% CI,NA,M,lab,NA,NA,location,offshore,400-450,425,umol m^-2  s^-1,gpp,24.84,NA,hermatypic coral,1.5,2-Jan,hard,,0.035112936,0.043333333,,0.033264887,0.043333333,
1,samiei2015,samiei2015,figure 2a,pop,Acropora,downingi,20.2,C,net photosynthesis,0.118,mg O2 l^-1 min^-1,mg_o2,l,hr,0.032,SEM,3,M,lab,NA,NA,NA,NA,120,120,umol m^-2  s^-1,npp,26.64525131,NA,hermatypic coral,4,4,hard,0.118,0.043,,0.032,0.017,,3
1,samiei2015,samiei2015,figure 2a,pop,Acropora,downingi,23,C,net photosynthesis,0.127,mg O2 l^-1 min^-1,mg_o2,l,hr,0.032,SEM,3,M,lab,NA,NA,NA,NA,120,120,umol m^-2  s^-1,npp,26.64525131,NA,hermatypic coral,4,4,hard,0.127,0.068,,0.032,0.017,,3
1,samiei2015,samiei2015,figure 2a,pop,Acropora,downingi,32,C,net photosynthesis,0.12,mg O2 l^-1 min^-1,mg_o2,l,hr,0.023,SEM,3,M,lab,NA,NA,NA,NA,120,120,umol m^-2  s^-1,npp,26.64525131,NA,hermatypic coral,4,4,hard,0.12,0.108,,0.023,0.012,,3
1,samiei2015,samiei2015,figure 2a,pop,Acropora,downingi,34.2,C,net photosynthesis,0.055,mg O2 l^-1 min^-1,mg_o2,l,hr,0.023,SEM,3,M,lab,NA,NA,NA,NA,120,120,umol m^-2  s^-1,npp,26.64525131,NA,hermatypic coral,4,4,hard,0.055,0.134,,0.023,0.012,,3
1,juillet-leclerc2014,juillet-leclerc2014,figure 2a,pop,Acropora,sp.,22,C,net photosynthesis,0.298963731,umol O2 cm^-2 s^-1,umol_o2,cm^2,sec,0.085492228,SEM,6,M,lab,NA,NA,NA,NA,400,400,umol m^-2  s^-1,npp,43.7328,NA,hermatypic coral,3.5,4-Mar,hard,0.298963731,-0.416321244,,0.085492228,0.045595855,,6
1,juillet-leclerc2014,juillet-leclerc2014,figure 2a,pop,Acropora,sp.,25,C,net photosynthesis,0.458549223,umol O2 cm^-2 s^-1,umol_o2,cm^2,sec,0.094041451,SEM,6,M,lab,NA,NA,NA,NA,400,400,umol m^-2  s^-1,npp,43.7328,NA,hermatypic coral,3.5,4-Mar,hard,0.458549223,-0.718393782,,0.094041451,0.173834197,,6
1,juillet-leclerc2014,juillet-leclerc2014,figure 2a,pop,Acropora,sp.,28,C,net photosynthesis,0.703626943,umol O2 cm^-2 s^-1,umol_o2,cm^2,sec,0.290673575,SEM,6,M,lab,NA,NA,NA,NA,400,400,umol m^-2  s^-1,npp,43.7328,NA,hermatypic coral,3.5,4-Mar,hard,0.703626943,-0.977720207,,0.290673575,0.169559585,,6
1,rodolfo-metalpa2006,rodolfo-metalpa2006,figure 3c,pop,Cladocora,caespitosa,20,C,respiration,-4.863157895,ug O2 ug chla^-1 h^-1,ug_o2,chla,hr,0.110526316,SEM,6,M,lab,0,days,NA,NA,0,0,umol m^-2  s^-1,r,44.03,NA,hermatypic coral,7,7,hard,1.876923077,-4.863157895,,0.110526316,0.138461538,,6
1,rodolfo-metalpa2006,rodolfo-metalpa2006,figure 3c,pop,Cladocora,caespitosa,24,C,respiration,-4.515789474,ug O2 ug chla^-1 h^-1,ug_o2,chla,hr,0.236842105,SEM,6,M,lab,0,days,NA,NA,0,0,umol m^-2  s^-1,r,44.03,NA,hermatypic coral,7,7,hard,1.630769231,-4.515789474,,0.236842105,0.2,,6
1,rodolfo-metalpa2006,rodolfo-metalpa2006,figure 3c,pop,Cladocora,caespitosa,26,C,respiration,-4.736842105,ug O2 ug chla^-1 h^-1,ug_o2,chla,hr,0.173684211,SEM,6,M,lab,0,days,NA,NA,0,0,umol m^-2  s^-1,r,44.03,NA,hermatypic coral,7,7,hard,1.907692308,-4.736842105,,0.173684211,0.138461538,,6
1,rodolfo-metalpa2006,rodolfo-metalpa2006,figure 3c,pop,Cladocora,caespitosa,28,C,respiration,-4.894736842,ug O2 ug chla^-1 h^-1,ug_o2,chla,hr,0.157894737,SEM,6,M,lab,0,days,NA,NA,0,0,umol m^-2  s^-1,r,44.03,NA,hermatypic coral,7,7,hard,1.630769231,-4.894736842,,0.157894737,0.169230769,,6
1,higuchi2015,higuchi2015,table 1,pop,Acropora,pruinosa,23,C,gross production,8.3,umol cm^-2 hr^-1,umol_o2,cm^2,hr,0.8,SEM,3,M,lab,NA,NA,NA,NA,100,100,umol m^-2  s^-1,gpp,33.9481,NA,hermatypic coral,2,2,hard,,6.1,8.3,,0.7,0.8,3
1,higuchi2015,higuchi2015,table 1,pop,Acropora,pruinosa,18,C,gross production,11.9,umol cm^-2 hr^-1,umol_o2,cm^2,hr,0.8,SEM,3,M,lab,NA,NA,NA,NA,100,100,umol m^-2  s^-1,gpp,33.9481,NA,hermatypic coral,2,2,hard,,7.3,11.9,,0.9,0.8,3
