study_id,metabolic_category,n
bahr2018,npp,9
bahr2018,r,9
banc-prandi2022,gpp,66
banc-prandi2022,r,66
godefroid2023,npp,20
godefroid2023,r,20
higuchi2015,gpp,3
higuchi2015,r,3
hill2014,npp,3
hill2014,r,3
howe2001,npp,5
howe2001,r,5
juillet-leclerc2014,npp,3
juillet-leclerc2014,r,3
kemp2011,gpp,12
kemp2011,r,12
rodolfo-metalpa2006,npp,4
rodolfo-metalpa2006,r,4
samiei2015,npp,4
samiei2015,r,4
