paper_id,study_id,source,org_level,genus,species,temp,temp_units,response_def,response_value,response_units,gas_units,mass/area,time,error,error_type,sample_size,realm,exp_design,time_point,time_units,add_trt,add_value,ppfd,avg_ppfd,ppfd_units,metabolic_category,latitude,latitude_broad,cnidarian_type,avg_depth_m,depth_m,npp,r,gpp
nakamura2003,nakamura2003,figure 2a,pop,Acropora,pruinosa,28,C,net photosynthesis,57.91221513,umol O2 cm^-2 h^-1,umol_o2,cm^2,hr,9.012006748,SD,6,M,lab,NA,NA,season,winter,400,400,umol m^-2  s^-1,npp,34.36,NA,hermatypic coral,3.5,4-Mar,57.91221513,-45.57603687,103.7415447
nakamura2003,nakamura2003,figure 2a,pop,Acropora,pruinosa,30,C,net photosynthesis,44.3217676,umol O2 cm^-2 h^-1,umol_o2,cm^2,hr,5.701716667,SD,6,M,lab,NA,NA,season,winter,400,400,umol m^-2  s^-1,npp,34.36,NA,hermatypic coral,3.5,4-Mar,44.3217676,-44.83870968,89.32330827
jiang2021,jiang2021,figure1a,pop,Pocillopora,damicornis,27,C,respiration,0.095302013,nmol O2 larvae^-1 min^-1,nmol_o2,larvae^-1,min,0.011409396,SEM,4,M,lab,NA,NA,NA,NA,0,0,umol m^-2  s^-1,r,18.2217,NA,brooding coral,3,3,0.071126761,-0.094155844,0.163287671
jiang2021,jiang2021,figure1a,pop,Pocillopora,damicornis,29,C,respiration,0.13557047,nmol O2 larvae^-1 min^-1,nmol_o2,larvae^-1,min,0.026174497,SEM,4,M,lab,NA,NA,NA,NA,0,0,umol m^-2  s^-1,r,18.2217,NA,brooding coral,3,3,0.134507042,-0.136363636,0.269589041
jiang2021,jiang2021,figure1a,pop,Pocillopora,damicornis,31,C,respiration,0.191946309,nmol O2 larvae^-1 min^-1,nmol_o2,larvae^-1,min,0.01442953,SEM,4,M,lab,NA,NA,NA,NA,0,0,umol m^-2  s^-1,r,18.2217,NA,brooding coral,3,3,0.174647887,-0.191558442,0.364931507
jiang2021,jiang2021,figure1a,pop,Pocillopora,damicornis,32,C,respiration,0.119463087,nmol O2 larvae^-1 min^-1,nmol_o2,larvae^-1,min,0.009395973,SEM,4,M,lab,NA,NA,NA,NA,0,0,umol m^-2  s^-1,r,18.2217,NA,brooding coral,3,3,0.132394366,-0.119480519,0.253150685
jiang2021,jiang2021,figure1a,pop,Pocillopora,damicornis,33,C,respiration,0.091275168,nmol O2 larvae^-1 min^-1,nmol_o2,larvae^-1,min,0.013758389,SEM,4,M,lab,NA,NA,NA,NA,0,0,umol m^-2  s^-1,r,18.2217,NA,brooding coral,3,3,-0.033802817,-0.092207792,0.056986301
wooldridge2014,castillohelmuth2005,figure 4c,pop,Montastraea,annularis,29.5,,gpp,,ug O2 cm^-2 h^-1,ug_o2,cm^2,hr,,,,M,lab,,,location,outer,700,700,umol m^-2  s^-1,npp,16.1,NA,hermatypic coral,4.5,5-Apr,46.51685393,-12.6984127,59.47195858
wooldridge2014,castillohelmuth2005,figure 4c,pop,Montastraea,annularis,29.5,,gpp,,ug O2 cm^-2 h^-1,ug_o2,cm^2,hr,,,,M,lab,,,location,outer,700,700,umol m^-2  s^-1,npp,16.1,NA,hermatypic coral,4.5,5-Apr,49.88764045,-13.96825397,61.99827437
wooldridge2014,castillohelmuth2005,figure 4c,pop,Montastraea,annularis,29.5,,gpp,,ug O2 cm^-2 h^-1,ug_o2,cm^2,hr,,,,M,lab,,,location,outer,700,700,umol m^-2  s^-1,npp,16.1,NA,hermatypic coral,4.5,5-Apr,60.6741573,-7.619047619,68.31406385
wooldridge2014,castillohelmuth2005,figure 4c,pop,Montastraea,annularis,31.0,,gpp,,ug O2 cm^-2 h^-1,ug_o2,cm^2,hr,,,,M,lab,,,location,outer,700,700,umol m^-2  s^-1,npp,16.1,NA,hermatypic coral,4.5,5-Apr,76.85393258,-39.36507937,164.6308887
