paper_id,study_id,source,org_level,genus,species,temp,temp_units,response_def,response_value,response_units ,gas,gas_unit,mass/area,time,error,error_type,sample_size,realm,exp_design,time_point,time_units,add_trt,add_value,ppfd,avg_ppfd,ppfd_units,metabolic_category,latitude,latitude_broad,cnidarian_type
howe2001,howe2001,figure 1,pop,Plesiastrea,versipora,10,C,photosynthesis,1.05586592,mmoles.core ^-1 h^-1 (x10^-3),o2,mmol,468 mm^2,hr,0.06703911,SEM,9,M,lab,day 11,days,,,300,300,umol m^-2  s^-1,gpp,-38.15,,coral
howe2001,howe2001,figure 1,pop,Plesiastrea,versipora,12.8,C,photosynthesis,1.45810056,mmoles.core ^-1 h^-1 (x10^-3),o2,mmol,468 mm^2,hr,0.10055866,SEM,9,M,lab,day 11,days,,,300,300,umol m^-2  s^-1,gpp,-38.15,,coral
howe2001,howe2001,figure 1,pop,Plesiastrea,versipora,18.3,C,photosynthesis,3.77094972,mmoles.core ^-1 h^-1 (x10^-3),o2,mmol,468 mm^2,hr,0.10055866,SEM,10,M,lab,day 11,days,,,300,300,umol m^-2  s^-1,gpp,-38.15,,coral
howe2001,howe2001,figure 1,pop,Plesiastrea,versipora,21,C,photosynthesis,4.08938547,mmoles.core ^-1 h^-1 (x10^-3),o2,mmol,468 mm^2,hr,0.08379888,SEM,10,M,lab,day 11,days,,,300,300,umol m^-2  s^-1,gpp,-38.15,,coral
howe2001,howe2001,figure 1,pop,Plesiastrea,versipora,10,C,respiration,1.17318436,mmoles.core ^-1 h^-1 (x10^-3),o2,mmol,468 mm^2,hr,0.08379888,SEM,9,M,lab,day 11,days,,,300,300,umol m^-2  s^-1,r,-38.15,,coral
howe2001,howe2001,figure 1,pop,Plesiastrea,versipora,12.8,C,respiration,1.08938547,mmoles.core ^-1 h^-1 (x10^-3),o2,mmol,468 mm^2,hr,0.06703911,SEM,9,M,lab,day 11,days,,,300,300,umol m^-2  s^-1,r,-38.15,,coral
howe2001,howe2001,figure 1,pop,Plesiastrea,versipora,18.3,C,respiration,2.22905028,mmoles.core ^-1 h^-1 (x10^-3),o2,mmol,468 mm^2,hr,0.06703911,SEM,10,M,lab,day 11,days,,,300,300,umol m^-2  s^-1,r,-38.15,,coral
howe2001,howe2001,figure 1,pop,Plesiastrea,versipora,21,C,respiration,2.56424581,mmoles.core ^-1 h^-1 (x10^-3),o2,mmol,468 mm^2,hr,0.08379888,SEM,10,M,lab,day 11,days,,,300,300,umol m^-2  s^-1,r,-38.15,,coral
howe2001,howe2001,figure 1,pop,Plesiastrea,versipora,10,C,photosynthesis,0.62964564,mmoles.core ^-1 h^-1 (x10^-3),o2,mmol,468 mm^2,hr,0.08241873,SEM,9,M,lab,day 21,days,,,300,300,umol m^-2  s^-1,gpp,-38.15,,coral
howe2001,howe2001,figure 1,pop,Plesiastrea,versipora,12.8,C,photosynthesis,1.57833963,mmoles.core ^-1 h^-1 (x10^-3),o2,mmol,468 mm^2,hr,0.0906606,SEM,9,M,lab,day 21,days,,,300,300,umol m^-2  s^-1,gpp,-38.15,,coral
howe2001,howe2001,figure 1,pop,Plesiastrea,versipora,18.3,C,photosynthesis,3.60759758,mmoles.core ^-1 h^-1 (x10^-3),o2,mmol,468 mm^2,hr,0.0906606,SEM,10,M,lab,day 21,days,,,300,300,umol m^-2  s^-1,gpp,-38.15,,coral
howe2001,howe2001,figure 1,pop,Plesiastrea,versipora,21,C,photosynthesis,3.71528582,mmoles.core ^-1 h^-1 (x10^-3),o2,mmol,468 mm^2,hr,0.09890248,SEM,10,M,lab,day 21,days,,,300,300,umol m^-2  s^-1,gpp,-38.15,,coral
howe2001,howe2001,figure 1,pop,Plesiastrea,versipora,10,C,respiration,1.17360927,mmoles.core ^-1 h^-1 (x10^-3),o2,mmol,468 mm^2,hr,0.08241873,SEM,9,M,lab,day 21,days,,,300,300,umol m^-2  s^-1,r,-38.15,,coral
howe2001,howe2001,figure 1,pop,Plesiastrea,versipora,12.8,C,respiration,1.38053468,mmoles.core ^-1 h^-1 (x10^-3),o2,mmol,468 mm^2,hr,0.08241873,SEM,9,M,lab,day 21,days,,,300,300,umol m^-2  s^-1,r,-38.15,,coral
howe2001,howe2001,figure 1,pop,Plesiastrea,versipora,18.3,C,respiration,2.20647914,mmoles.core ^-1 h^-1 (x10^-3),o2,mmol,468 mm^2,hr,0.08241873,SEM,10,M,lab,day 21,days,,,300,300,umol m^-2  s^-1,r,-38.15,,coral
howe2001,howe2001,figure 1,pop,Plesiastrea,versipora,21,C,respiration,2.2977673,mmoles.core ^-1 h^-1 (x10^-3),o2,mmol,468 mm^2,hr,0.0906606,SEM,10,M,lab,day 21,days,,,300,300,umol m^-2  s^-1,r,-38.15,,coral
