study_id,source,org_level,genus,species,temp,temp_units,response_def,response_value,response_units ,gas,gas_unit,mass,time,error,error_type,sample_size,realm,exp_design,time_point,time_units,add_trt,add_value
shelyakin2020,fig 1d,pop,usnea,aurantiaco-atra,35,C,O2 consumption,1463.388053,nmol O2 *g of dried weight ^1 *min^-1,o2,nmol,g,min,93.40871421,SEM,,T,lab,,,,
colesie2018,figure 3,pop,stereocaulon,alpinum,5,C,net photosynthesis,1.91304348,umol CO2 *g^-1 *s^-1,co2,umol,g,sec,0.52173913,SD,3,T,lab,1,week,,
colesie2018,figure 3,pop,stereocaulon,alpinum,15,C,net photosynthesis,2.14492754,umol CO2 *g^-1 *s^-1,co2,umol,g,sec,0.2173913,SD,3,T,lab,1,week,,
colesie2018,figure 3,pop,stereocaulon,alpinum,23,C,net photosynthesis,1.91304348,umol CO2 *g^-1 *s^-1,co2,umol,g,sec,1.02898551,SD,3,T,lab,1,week,,
colesie2018,figure 3,pop,usnea ,aurantiaco-atra,5,C,net photosynthesis,0.75362319,umol CO2 *g^-1 *s^-1,co2,umol,g,sec,0.31884058,SD,3,T,lab,1,week,,
colesie2018,figure 3,pop,usnea ,aurantiaco-atra,15,C,net photosynthesis,0.92753623,umol CO2 *g^-1 *s^-1,co2,umol,g,sec,0.92753623,SD,3,T,lab,1,week,,
colesie2018,figure 3,pop,usnea ,aurantiaco-atra,23,C,net photosynthesis,-0.8115942,umol CO2 *g^-1 *s^-1,co2,umol,g,sec,0.39130435,SD,3,T,lab,1,week,,
colesie2018,figure 3,pop,placopsis,contortuplicata,5,C,net photosynthesis,1.27536232,umol CO2 *g^-1 *s^-1,co2,umol,g,sec,0.23188406,SD,3,T,lab,1,week,,
colesie2018,figure 3,pop,placopsis,contortuplicata,15,C,net photosynthesis,1.56521739,umol CO2 *g^-1 *s^-1,co2,umol,g,sec,0.53623188,SD,3,T,lab,1,week,,
colesie2018,figure 3,pop,placopsis,contortuplicata,23,C,net photosynthesis,0.08695652,umol CO2 *g^-1 *s^-1,co2,umol,g,sec,0.66666667,SD,3,T,lab,1,week,,
colesie2018,figure 3,pop,stereocaulon,alpinum,5,C,respiration,-0.7859425,umol CO2 *g^-1 *s^-1,co2,umol,g,sec,0.2971246,SD,3,T,lab,1,week,,
colesie2018,figure 3,pop,stereocaulon,alpinum,15,C,respiration,-1.9361022,umol CO2 *g^-1 *s^-1,co2,umol,g,sec,0.1341853,SD,3,T,lab,1,week,,
colesie2018,figure 3,pop,stereocaulon,alpinum,23,C,respiration,-2.4728435,umol CO2 *g^-1 *s^-1,co2,umol,g,sec,0.84345048,SD,3,T,lab,1,week,,
colesie2018,figure 3,pop,usnea ,aurantiaco-atra,5,C,respiration,-0.4025559,umol CO2 *g^-1 *s^-1,co2,umol,g,sec,0.14376997,SD,3,T,lab,1,week,,
colesie2018,figure 3,pop,usnea ,aurantiaco-atra,15,C,respiration,-0.9776358,umol CO2 *g^-1 *s^-1,co2,umol,g,sec,0.32587859,SD,3,T,lab,1,week,,
colesie2018,figure 3,pop,usnea ,aurantiaco-atra,23,C,respiration,-3.1054313,umol CO2 *g^-1 *s^-1,co2,umol,g,sec,1.53354633,SD,3,T,lab,1,week,,
colesie2018,figure 3,pop,placopsis,contortuplicata,5,C,respiration,-0.8626198,umol CO2 *g^-1 *s^-1,co2,umol,g,sec,0.23961661,SD,3,T,lab,1,week,,
colesie2018,figure 3,pop,placopsis,contortuplicata,15,C,respiration,-3.4696486,umol CO2 *g^-1 *s^-1,co2,umol,g,sec,0.11501597,SD,3,T,lab,1,week,,
colesie2018,figure 3,pop,placopsis,contortuplicata,23,C,respiration,-4.9265176,umol CO2 *g^-1 *s^-1,co2,umol,g,sec,0.94888179,SD,3,T,lab,1,week,,
schroeter1995,figure 1,pop,umbilicaria ,aprina,-8,C,net photosynthesis,0.132890365,umol CO2 *kg^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,
schroeter1995,figure 1,pop,umbilicaria ,aprina,-5.9,C,net photosynthesis,0.451827243,umol CO2 *kg^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,
schroeter1995,figure 1,pop,umbilicaria ,aprina,-4,C,net photosynthesis,1.249169435,umol CO2 *kg^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,
schroeter1995,figure 1,pop,umbilicaria ,aprina,-2,C,net photosynthesis,1.926910299,umol CO2 *kg^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,
schroeter1995,figure 1,pop,umbilicaria ,aprina,0,C,net photosynthesis,3.202657807,umol CO2 *kg^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,
schroeter1995,figure 1,pop,umbilicaria ,aprina,2,C,net photosynthesis,3.322259136,umol CO2 *kg^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,
schroeter1995,figure 1,pop,umbilicaria ,aprina,4,C,net photosynthesis,3.441860465,umol CO2 *kg^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,
schroeter1995,figure 1,pop,umbilicaria ,aprina,-8,C,dark respiration,-0.066445183,umol CO2 *kg^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,
schroeter1995,figure 1,pop,umbilicaria ,aprina,-5.9,C,dark respiration,-0.265780731,umol CO2 *kg^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,
schroeter1995,figure 1,pop,umbilicaria ,aprina,-4,C,dark respiration,-0.176079734,umol CO2 *kg^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,
schroeter1995,figure 1,pop,umbilicaria ,aprina,-2,C,dark respiration,-0.38538206,umol CO2 *kg^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,
schroeter1995,figure 1,pop,umbilicaria ,aprina,0,C,dark respiration,-0.514950166,umol CO2 *kg^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,
schroeter1995,figure 1,pop,umbilicaria ,aprina,2,C,dark respiration,-1.013289037,umol CO2 *kg^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,
schroeter1995,figure 1,pop,umbilicaria ,aprina,4,C,dark respiration,-1.50166113,umol CO2 *kg^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,
smith2000,figure 3,pop,turgidiusculum,complicatulum,1,C,max photosynthesis,81.94444444,umol CO2 *g^-1 *h^-1,co2,umol,g,hr,,,,I,lab,,,,
smith2000,figure 3,pop,turgidiusculum,complicatulum,5,C,max photosynthesis,85.55555556,umol CO2 *g^-1 *h^-1,co2,umol,g,hr,,,,I,lab,,,,
smith2000,figure 3,pop,turgidiusculum,complicatulum,10,C,max photosynthesis,91.01851852,umol CO2 *g^-1 *h^-1,co2,umol,g,hr,,,,I,lab,,,,
smith2000,figure 3,pop,turgidiusculum,complicatulum,15,C,max photosynthesis,95.09259259,umol CO2 *g^-1 *h^-1,co2,umol,g,hr,,,,I,lab,,,,
smith2000,figure 3,pop,turgidiusculum,complicatulum,20,C,max photosynthesis,97.17592593,umol CO2 *g^-1 *h^-1,co2,umol,g,hr,,,,I,lab,,,,
smith2000,figure 3,pop,turgidiusculum,complicatulum,25,C,max photosynthesis,73.84259259,umol CO2 *g^-1 *h^-1,co2,umol,g,hr,,,,I,lab,,,,
delprado_1995,figure 2,pop,teloschistes,lacunosus,0,C,net photosynthesis,2.640657084,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,ppfd,200
delprado_1995,figure 2,pop,teloschistes,lacunosus,5,C,net photosynthesis,4.069815195,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,ppfd,200
delprado_1995,figure 2,pop,teloschistes,lacunosus,10,C,net photosynthesis,5.154004107,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,ppfd,200
delprado_1995,figure 2,pop,teloschistes,lacunosus,15,C,net photosynthesis,5.326488706,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,ppfd,200
delprado_1995,figure 2,pop,teloschistes,lacunosus,20,C,net photosynthesis,4.981519507,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,ppfd,200
delprado_1995,figure 2,pop,teloschistes,lacunosus,25,C,net photosynthesis,4.069815195,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,ppfd,200
delprado_1995,figure 2,pop,teloschistes,lacunosus,30,C,net photosynthesis,2.616016427,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,ppfd,200
