grpvar,study_id,r_intercept,r_slope,lichen_type,elevation_broad,latitude,centre_temp,n
study_id,adams_1971,4.5807592511436,0.01769748252012042,green algae,neutral,43.7844,-0.208745220814151,1
study_id,aubert_2007,6.013516781994771,0.2577161701377541,green algae,high,44.6008723,-1.78647996720667,1
study_id,aubert_2007,6.013516781994771,0.2577161701377541,green algae,high,44.6008723,-1.14452475532761,1
study_id,aubert_2007,6.013516781994771,0.2577161701377541,green algae,high,44.6008723,-0.480671020102847,1
study_id,aubert_2007,6.013516781994771,0.2577161701377541,green algae,high,44.6008723,0.206221192832295,1
study_id,aubert_2007,6.013516781994771,0.2577161701377541,green algae,high,44.6008723,0.917372357310278,1
study_id,aubert_2007,6.013516781994771,0.2577161701377541,green algae,high,44.6008723,1.65409070368571,1
study_id,aubert_2007,6.013516781994771,0.2577161701377541,green algae,high,44.6008723,2.108973785153,1
study_id,brown_kershaw_1984,7.516328708851562,-0.0025824472161841347,cyanobacteria,neutral,45.1603,-2.40760262312666,1
study_id,brown_kershaw_1984,7.516328708851562,-0.0025824472161841347,cyanobacteria,neutral,58.7679,-2.40760262312666,1
study_id,colesie2018,-7.54599569281686,0.1418618041028964,green algae,neutral,-62,-0.881673197021165,1
study_id,colesie2018,-7.54599569281686,0.1418618041028964,green algae,neutral,-62,0.206221192832295,1
study_id,colesie2018,-7.54599569281686,0.1418618041028964,green algae,neutral,-62,1.65409070368571,1
study_id,colesie2018,-7.54599569281686,0.1418618041028964,cyanobacteria,neutral,-62,-0.881673197021165,2
study_id,colesie2018,-7.54599569281686,0.1418618041028964,cyanobacteria,neutral,-62,0.206221192832295,2
study_id,colesie2018,-7.54599569281686,0.1418618041028964,cyanobacteria,neutral,-62,1.65409070368571,2
study_id,delprado_1995,-14.862330862581574,-0.15044399522417645,green algae,neutral,36.834,-1.78647996720667,14
study_id,delprado_1995,-14.862330862581574,-0.15044399522417645,green algae,neutral,36.834,-1.14452475532761,14
study_id,delprado_1995,-14.862330862581574,-0.15044399522417645,green algae,neutral,36.834,-0.480671020102847,14
study_id,delprado_1995,-14.862330862581574,-0.15044399522417645,green algae,neutral,36.834,0.206221192832295,14
study_id,delprado_1995,-14.862330862581574,-0.15044399522417645,green algae,neutral,36.834,0.917372357310278,14
study_id,delprado_1995,-14.862330862581574,-0.15044399522417645,green algae,neutral,36.834,1.65409070368571,14
study_id,delprado_1995,-14.862330862581574,-0.15044399522417645,green algae,neutral,36.834,2.41778025073388,14
study_id,domaschke_2013,-14.24699193080383,-0.24382436861416318,green algae,neutral,-62.24,-1.78647996720667,1
study_id,domaschke_2013,-14.24699193080383,-0.24382436861416318,green algae,neutral,-62.24,-1.14452475532761,1
study_id,domaschke_2013,-14.24699193080383,-0.24382436861416318,green algae,neutral,-62.24,-0.480671020102847,1
study_id,domaschke_2013,-14.24699193080383,-0.24382436861416318,green algae,neutral,-62.24,0.206221192832295,1
study_id,domaschke_2013,-14.24699193080383,-0.24382436861416318,green algae,neutral,-62.24,0.917372357310278,1
study_id,domaschke_2013,-14.24699193080383,-0.24382436861416318,green algae,neutral,-62.24,1.65409070368571,1
study_id,domaschke_2013,-14.24699193080383,-0.24382436861416318,green algae,neutral,-62.24,2.41778025073388,1
study_id,domaschke_2013,-14.24699193080383,-0.24382436861416318,green algae,neutral,41.39,-1.78647996720667,1
study_id,domaschke_2013,-14.24699193080383,-0.24382436861416318,green algae,neutral,41.39,-1.14452475532761,1
study_id,domaschke_2013,-14.24699193080383,-0.24382436861416318,green algae,neutral,41.39,-0.480671020102847,1
study_id,domaschke_2013,-14.24699193080383,-0.24382436861416318,green algae,neutral,41.39,0.206221192832295,1
study_id,domaschke_2013,-14.24699193080383,-0.24382436861416318,green algae,neutral,41.39,0.917372357310278,1
study_id,domaschke_2013,-14.24699193080383,-0.24382436861416318,green algae,neutral,41.39,1.65409070368571,1
study_id,domaschke_2013,-14.24699193080383,-0.24382436861416318,green algae,neutral,41.39,2.41778025073388,1
study_id,domaschke_2013,-14.24699193080383,-0.24382436861416318,green algae,neutral,49.58,-1.78647996720667,1
study_id,domaschke_2013,-14.24699193080383,-0.24382436861416318,green algae,neutral,49.58,-1.14452475532761,1
study_id,domaschke_2013,-14.24699193080383,-0.24382436861416318,green algae,neutral,49.58,-0.480671020102847,1
study_id,domaschke_2013,-14.24699193080383,-0.24382436861416318,green algae,neutral,49.58,0.206221192832295,1
study_id,domaschke_2013,-14.24699193080383,-0.24382436861416318,green algae,neutral,49.58,0.917372357310278,1
study_id,domaschke_2013,-14.24699193080383,-0.24382436861416318,green algae,neutral,49.58,1.65409070368571,1
study_id,domaschke_2013,-14.24699193080383,-0.24382436861416318,green algae,neutral,49.58,2.41778025073388,1
study_id,domaschke_2013,-14.24699193080383,-0.24382436861416318,green algae,neutral,78.1,-1.78647996720667,1
study_id,domaschke_2013,-14.24699193080383,-0.24382436861416318,green algae,neutral,78.1,-1.14452475532761,1
study_id,domaschke_2013,-14.24699193080383,-0.24382436861416318,green algae,neutral,78.1,-0.480671020102847,1
study_id,domaschke_2013,-14.24699193080383,-0.24382436861416318,green algae,neutral,78.1,0.206221192832295,1
study_id,domaschke_2013,-14.24699193080383,-0.24382436861416318,green algae,neutral,78.1,0.917372357310278,1
study_id,domaschke_2013,-14.24699193080383,-0.24382436861416318,green algae,neutral,78.1,1.65409070368571,1
study_id,domaschke_2013,-14.24699193080383,-0.24382436861416318,green algae,neutral,78.1,2.41778025073388,1
