paper_unit,paper_id,study_id,source,org_level,genus,species,temp,temp_units,response_def,response_value,response_units ,gas,gas_unit,mass/area,time,error,error_type,sample_size,realm,exp_design,time_point,time_units,add_trt,add_value,ppfd,avg_ppfd,ppfd_units,metabolic_category,latitude,latitude_broad,avg_depth_m,depth_m
1,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,5,C,net photosynthesis,0.227360584,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,
1,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,10,C,net photosynthesis,-0.224497101,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,
1,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,10,C,net photosynthesis,0.430524733,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,
1,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,15,C,net photosynthesis,1.681509056,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,
1,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,15,C,net photosynthesis,1.026487222,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,
1,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,15,C,net photosynthesis,0.436967571,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,
1,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,17,C,net photosynthesis,0.83320209,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,
1,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,20,C,net photosynthesis,1.426157921,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,
1,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,20,C,net photosynthesis,2.605197222,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,
1,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,20,C,net photosynthesis,3.260219056,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,
1,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,20,C,net photosynthesis,5.487293292,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,
1,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,22,C,net photosynthesis,6.014532178,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,
