paper_unit,paper_id,study_id,source,org_level,genus,species,temp,temp_units,response_def,response_value,response_units ,gas,gas_unit,mass/area,time,error,error_type,sample_size,realm,exp_design,time_point,time_units,add_trt,add_value,ppfd,avg_ppfd,ppfd_units,metabolic_category,latitude,latitude_broad,avg_depth_m,depth_m,npp_value,r_value,gpp_value,npp_error,r_error,gpp_error
7,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,30,C,net photosynthesis,13.09843224,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,,13.09843224,-1.615720524,,,,
7,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,30,C,net photosynthesis,11.26437111,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,,11.26437111,-2.074235808,,,,
7,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,30,C,net photosynthesis,9.430309972,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,,9.430309972,-3.84279476,,,,
7,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,30,C,net photosynthesis,8.840790321,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,,8.840790321,-6.004366812,,,,
7,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,35,C,net photosynthesis,9.371465388,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,,9.371465388,-0.96069869,,,,
7,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,35,C,net photosynthesis,7.209893335,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,,7.209893335,-1.222707424,,,,
7,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,35,C,net photosynthesis,5.244827833,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,,5.244827833,-2.336244541,,,,
7,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,37,C,net photosynthesis,-0.516142888,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,,-0.516142888,-2.008733624,,,,
7,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,40,C,net photosynthesis,1.321354428,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,,1.321354428,-1.222707424,,,,
7,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,40,C,net photosynthesis,-0.643711075,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,,-0.643711075,-2.663755459,,,,
7,fujita2014,fujita2014,figure 1,,Baculogypsina,sphaerulata,45,C,net photosynthesis,-2.995346839,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,,-2.995346839,-0.305676856,,,,
8,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,5,C,net photosynthesis,-0.042553191,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,,-0.042553191,-0.106382979,,,,
8,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,10,C,net photosynthesis,0.340425532,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,,0.340425532,-0.106382979,,,,
8,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,10,C,net photosynthesis,0.212765957,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,,0.212765957,-0.744680851,,,,
8,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,15,C,net photosynthesis,0.85106383,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,,0.85106383,-0.170212766,,,,
8,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,15,C,net photosynthesis,0.595744681,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,,0.595744681,-0.425531915,,,,
8,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,15,C,net photosynthesis,0.212765957,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,,0.212765957,-0.617021277,,,,
8,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,18,C,net photosynthesis,0.978723404,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,,0.978723404,-1.127659574,,,,
8,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,20,C,net photosynthesis,2.829787234,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,,2.829787234,-0.680851064,,,,
8,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,20,C,net photosynthesis,1.489361702,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,,1.489361702,-1,,,,
8,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,20,C,net photosynthesis,0.723404255,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,,0.723404255,-1.382978723,,,,
8,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,23,C,net photosynthesis,3.085106383,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,,3.085106383,-1.382978723,,,,
8,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,25,C,net photosynthesis,5.446808511,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,,5.446808511,-0.744680851,,,,
8,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,25,C,net photosynthesis,4.425531915,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,,4.425531915,-1.127659574,,,,
8,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,25,C,net photosynthesis,3.914893617,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,,3.914893617,-1.510638298,,,,
8,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,25,C,net photosynthesis,2.893617021,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,,2.893617021,-1.765957447,,,,
8,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,30,C,net photosynthesis,6.276595745,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,,6.276595745,-1.063829787,,,,
8,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,30,C,net photosynthesis,5.446808511,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,,5.446808511,-1.319148936,,,,
8,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,30,C,net photosynthesis,4.936170213,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,,4.936170213,-1.893617021,,,,
8,fujita2014,fujita2014,figure 1,,Calcarina,gaudichaudii,30,C,net photosynthesis,4.680851064,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.4,,1,,4.680851064,-2.595744681,,,,
