rmax,topt,ctmin,ctmax,e,eh,q10,thermal_safety_margin,thermal_tolerance,breadth,skewness,tpc_grp,metabolic_category
0.08964972973572054,18.904,-6.946999999999996,21.295,0.787381667891231,NA,3.1339515652746845,2.391000000000002,28.241999999999997,3.3149999999999977,NA,1_green1998,r
0.00503730601268411,27.1,-11.179000000000002,29.749000000000002,0.5233490434438115,NA,2.0387657626891116,2.649000000000001,40.928000000000004,3.599,NA,1_lange2005oecologia,r
9.59221594406591e-7,22.314,-9.252000000000002,68.283,0.536243910910923,NA,2.144585474955044,45.969,77.535,14.122,NA,1_scholander1952,r
4.2048188564033846e-7,24.355,-7.594000000000001,Inf,0.5496976836020011,NA,2.185718183811907,Inf,Inf,13.75,NA,15_scholander1952,r
1.065565850244429e-6,27.782,-6.860999999999997,31.824,0.6080789752132298,NA,2.3714206661477086,4.042000000000002,38.685,4.916,NA,2_scholander1952,r
5.000650294715287e-4,21.417,-16.756999999999998,23.982,0.512001035023763,NA,2.0467970154538846,2.5649999999999977,40.739,4.304000000000002,NA,2_tretiach1997,r
0.09019977710948522,18.907,-6.756999999999998,21.295,0.7937824792535416,NA,3.162411333778709,2.3880000000000017,28.052,3.2959999999999994,NA,4_green1998,r
3.677718952124392e-7,27.413,-15.591999999999999,37.091,0.4702660856134901,NA,1.9211419882814162,9.678,52.683,7.7669999999999995,NA,7_domaschke2013,r
4.015552629884135e-7,18.109,-31.104,37.132,0.39802052712872743,0.9380294534535847,1.775012393099468,19.022999999999996,68.23599999999999,11.938,-0.5400089263248573,1_adams1971,npp
1.3868219581660397e-6,13.882,-Inf,32.083,0.4579693077222499,0.8028879968805943,1.9709518641902009,18.201,Inf,15.653000000000002,-0.3449186891583444,1_aubert2007,npp
3.174200790814046e-6,31.837,-17.216,89.22200000000001,0.39221012237260305,NA,1.7193155036006296,57.385000000000005,106.43800000000002,19.94,NA,1_brownkershaw1984,npp
1.001309938920523e-6,22.044,-21.919,34.364,0.4283979491992302,NA,1.8402690927081575,12.319999999999997,56.283,9.09,NA,1_domaschke2013,npp
2.480634547142105e-7,15.969000000000001,-42.294,20.049,0.4986566473425486,NA,2.1058261409817036,4.079999999999998,62.342999999999996,7.456999999999999,NA,1_kappen1983,npp
2.2836021417772388e-6,22.991,-19.387999999999998,71.075,0.38315738664209914,NA,1.7164389845444021,48.084,90.463,15.486,NA,1_lange1991,npp
0.0027386280887206522,23.832,0.26500000000000057,Inf,0.5080567158779472,0.20971634792009222,2.006716310197585,Inf,Inf,17.779000000000003,0.298340367957855,1_lange2000,npp
0.01640155758531172,21.514,-Inf,67.549,0.18444438122735776,0.12456250498712218,1.303814754989083,46.03500000000001,Inf,17.9,0.05988187624023558,1_lange2002florai,npp
2.2876197699480983e-6,20.984,-26.886,42.734,0.30865128666068,0.7907821238184428,1.53403845321736,21.75,69.62,12.52,-0.48213083715776284,1_lange2004,npp
4.248247857287397e-7,22.308,-5.631999999999998,46.668,0.5576141467337226,0.7404981748355951,2.15732759635819,24.36,52.3,9.89,-0.18288402810187254,1_peetadams1972,npp
6.622898670153133e-7,16.383,-33.349999999999994,34.737,0.43650895922592503,0.9786404354402891,1.901388232365885,18.354000000000003,68.08699999999999,11.840000000000002,-0.5421314762143641,1_sanchokappen1989,npp
1.0119431670429903e-6,18.102,-27.276,34.491,0.36360465554515947,1.1894373282426778,1.7071483786299984,16.389,61.766999999999996,10.607,-0.8258326726975183,1_sonesson1989,npp
0.0029026570724848683,19.747,-31.262999999999998,43.874,0.27766023785580246,0.5292837904941952,1.4805792469270533,24.127000000000002,75.137,13.66,-0.2516235526383927,1_sundberg1997,npp
0.0010407484774352127,16.814999999999998,-15.363999999999997,33.444,0.5288861452222875,0.5504471546155852,2.1463824185455405,16.629000000000005,48.808,8.840000000000002,-0.021561009393297748,1_tretiach1997,npp
1.2173670228872238e-6,23.274,4.2620000000000005,56.235,0.9291389382484339,0.6356915575896215,3.5611080983473182,32.961,51.973,9.233999999999998,0.2934473806588124,1_zotz1998,npp
1.690168082641015e-6,25.276,-7.607999999999997,45.31,0.6030492125641973,0.7779210232319831,2.304185151108825,20.034000000000002,52.918,9.802,-0.1748718106677858,10_lechowiczadams1974,npp
6.046826452651464e-6,33.121,0.09700000000000131,Inf,0.6307862730171214,NA,2.3751277577050907,Inf,Inf,22.39,NA,11_brownkershaw1984,npp
9.085655814759285e-7,21.756999999999998,2.6869999999999976,Inf,0.8114367616327529,0.308461129751149,3.086785073109986,Inf,Inf,12.568999999999999,0.5029756318816039,11_lechowiczadams1974,npp
9.694652603461705e-7,18.538,-21.809,32.846000000000004,0.5026058227095128,1.2764961170914368,2.0965798293907465,14.308000000000003,54.655,9.344,-0.773890294381924,11_sanchokappen1989,npp
9.250561648263437e-7,21.544,-9.9339999999999975,57.384,0.5087009436321441,0.4324497218801035,2.0429456788010936,35.84,67.318,12.641000000000002,0.07625122175204063,12_lechowiczadams1974,npp
1.203735228306536e-6,21.734,-Inf,66.474,0.14676463121555552,NA,1.2320795706454835,44.74,Inf,25.720999999999997,NA,12_sancho1997,npp
1.8794817560387897e-6,22.107,-6.786000000000001,67.715,0.4524008433826097,0.4495955517934982,1.8738088654697067,45.608000000000004,74.501,13.384000000000002,0.002805291589111525,13_lechowiczadams1974,npp
6.908132852745974e-7,19.326,-30.047,45.593,0.4214447073731902,0.4508617759751488,1.85405367392602,26.267000000000003,75.64,13.971,-0.02941706860195864,13_sanchokappen1989,npp
