tpc_grp,depth_broad,broad_coral,latitude,species,mol_gCmin,sd_molgCmin,temp,cnidarian_type,metabolic_category,study_id
4_becker2021,shallow,hard,-17.5388,spp.,7.372822430894309e-11,NA,22,hermatypic coral,gpp,becker2021
4_becker2021,shallow,hard,-17.5388,spp.,8.769049756097561e-11,NA,24,hermatypic coral,gpp,becker2021
4_becker2021,shallow,hard,-17.5388,spp.,1.087085762601626e-10,NA,28,hermatypic coral,gpp,becker2021
4_becker2021,shallow,hard,-17.5388,spp.,9.558077113821138e-11,NA,30,hermatypic coral,gpp,becker2021
4_becker2021,shallow,hard,-17.5388,spp.,1.0644125715447154e-10,NA,32,hermatypic coral,gpp,becker2021
4_becker2021,shallow,hard,-17.5388,spp.,1.0507721471544716e-10,NA,34,hermatypic coral,gpp,becker2021
4_becker2021,shallow,hard,-17.5388,spp.,8.145583601626014e-11,NA,36,hermatypic coral,gpp,becker2021
4_becker2021,shallow,hard,-17.5388,spp.,2.674300756097561e-11,NA,37,hermatypic coral,gpp,becker2021
5_becker2021,shallow,hard,-17.5388,spp.,4.480607731707317e-11,NA,20,hermatypic coral,gpp,becker2021
5_becker2021,shallow,hard,-17.5388,spp.,4.8177349593495934e-11,NA,22,hermatypic coral,gpp,becker2021
5_becker2021,shallow,hard,-17.5388,spp.,6.361353959349593e-11,NA,24,hermatypic coral,gpp,becker2021
5_becker2021,shallow,hard,-17.5388,spp.,7.92138406504065e-11,NA,28,hermatypic coral,gpp,becker2021
5_becker2021,shallow,hard,-17.5388,spp.,7.728220447154471e-11,NA,30,hermatypic coral,gpp,becker2021
5_becker2021,shallow,hard,-17.5388,spp.,7.610437739837398e-11,NA,32,hermatypic coral,gpp,becker2021
5_becker2021,shallow,hard,-17.5388,spp.,6.441740585365854e-11,NA,34,hermatypic coral,gpp,becker2021
5_becker2021,shallow,hard,-17.5388,spp.,3.454281943089431e-11,NA,36,hermatypic coral,gpp,becker2021
5_becker2021,shallow,hard,-17.5388,spp.,1.0368471951219513e-11,NA,37,hermatypic coral,gpp,becker2021
6_becker2021,shallow,hard,-17.5388,spp.,5.7562672032520325e-11,NA,20,hermatypic coral,gpp,becker2021
6_becker2021,shallow,hard,-17.5388,spp.,7.05723437398374e-11,NA,22,hermatypic coral,gpp,becker2021
6_becker2021,shallow,hard,-17.5388,spp.,7.913146487804878e-11,NA,24,hermatypic coral,gpp,becker2021
6_becker2021,shallow,hard,-17.5388,spp.,9.787888764227642e-11,NA,28,hermatypic coral,gpp,becker2021
6_becker2021,shallow,hard,-17.5388,spp.,9.10047974796748e-11,NA,30,hermatypic coral,gpp,becker2021
6_becker2021,shallow,hard,-17.5388,spp.,9.460052780487805e-11,NA,32,hermatypic coral,gpp,becker2021
6_becker2021,shallow,hard,-17.5388,spp.,8.094695040650406e-11,NA,34,hermatypic coral,gpp,becker2021
6_becker2021,shallow,hard,-17.5388,spp.,5.3428163495934956e-11,NA,36,hermatypic coral,gpp,becker2021
6_becker2021,shallow,hard,-17.5388,spp.,2.7800354227642274e-11,NA,37,hermatypic coral,gpp,becker2021
7_becker2021,shallow,hard,-17.5388,spp.,3.3506899999999996e-11,NA,20,hermatypic coral,gpp,becker2021
7_becker2021,shallow,hard,-17.5388,spp.,4.987276032520325e-11,NA,22,hermatypic coral,gpp,becker2021
7_becker2021,shallow,hard,-17.5388,spp.,5.764196585365853e-11,NA,24,hermatypic coral,gpp,becker2021
7_becker2021,shallow,hard,-17.5388,spp.,7.385387943089431e-11,NA,28,hermatypic coral,gpp,becker2021
7_becker2021,shallow,hard,-17.5388,spp.,7.110956821138211e-11,NA,30,hermatypic coral,gpp,becker2021
7_becker2021,shallow,hard,-17.5388,spp.,6.704241544715447e-11,NA,32,hermatypic coral,gpp,becker2021
7_becker2021,shallow,hard,-17.5388,spp.,5.1403112764227636e-11,NA,34,hermatypic coral,gpp,becker2021
