tpc_grp,latitude,species,mol_gCmin,inv_T,temp,metabolic_category,study_id,paper_unit
3_moffatt2022,24.824,microadriaticum,NA,38.79163670917708,26,r,moffatt2022,3
3_moffatt2022,24.824,microadriaticum,NA,38.27978928434875,30,r,moffatt2022,3
3_moffatt2022,24.824,microadriaticum,NA,38.028897661970575,32,r,moffatt2022,3
4_moffatt2022,21.4628,microadriaticum,NA,38.79163670917708,26,r,moffatt2022,4
4_moffatt2022,21.4628,microadriaticum,NA,38.27978928434875,30,r,moffatt2022,4
4_moffatt2022,21.4628,microadriaticum,NA,38.028897661970575,32,r,moffatt2022,4
5_moffatt2022,28.6929,microadriaticum,NA,38.79163670917708,26,r,moffatt2022,5
5_moffatt2022,28.6929,microadriaticum,NA,38.27978928434875,30,r,moffatt2022,5
5_moffatt2022,28.6929,microadriaticum,NA,38.028897661970575,32,r,moffatt2022,5
2_gregoire2017,21.4628,unknown,-9.940689791666667e-6,39.58559823145258,20,r,gregoire2017,2
2_gregoire2017,21.4628,unknown,-1.6015625e-5,38.66239587389746,27,r,gregoire2017,2
2_gregoire2017,21.4628,unknown,-1.794756778409091e-5,38.27978928434875,30,r,gregoire2017,2
2_gregoire2017,21.4628,unknown,-7.44617225e-6,37.9046811090979,33,r,gregoire2017,2
4_gregoire2017,24.691402,minutum,-3.874538973484849e-5,39.58559823145258,20,r,gregoire2017,4
4_gregoire2017,24.691402,minutum,-2.243072168939394e-5,38.66239587389746,27,r,gregoire2017,4
4_gregoire2017,24.691402,minutum,-1.689219497727273e-5,38.27978928434875,30,r,gregoire2017,4
4_gregoire2017,24.691402,minutum,-3.2888506776515156e-5,37.9046811090979,33,r,gregoire2017,4
6_gregoire2017,24.691402,psygmophilum,-6.95840691287879e-6,39.58559823145258,20,r,gregoire2017,6
6_gregoire2017,24.691402,psygmophilum,-1.9385161018939394e-5,38.66239587389746,27,r,gregoire2017,6
6_gregoire2017,24.691402,psygmophilum,-7.240783393939394e-6,38.27978928434875,30,r,gregoire2017,6
6_gregoire2017,24.691402,psygmophilum,-1.1196243087121214e-5,37.9046811090979,33,r,gregoire2017,6
8_gregoire2017,7.515,unknown,-3.9113676818181825e-6,39.58559823145258,20,r,gregoire2017,8
8_gregoire2017,7.515,unknown,-5.3232500833333335e-6,38.66239587389746,27,r,gregoire2017,8
8_gregoire2017,7.515,unknown,-5.036495674242424e-6,38.27978928434875,30,r,gregoire2017,8
8_gregoire2017,7.515,unknown,-5.601248636363637e-6,37.9046811090979,33,r,gregoire2017,8
10_gregoire2017,24.691402,trenchii,-2.150215021590909e-5,39.58559823145258,20,r,gregoire2017,10
10_gregoire2017,24.691402,trenchii,-2.67526752689394e-5,38.66239587389746,27,r,gregoire2017,10
10_gregoire2017,24.691402,trenchii,-3.375337533712121e-5,38.27978928434875,30,r,gregoire2017,10
10_gregoire2017,24.691402,trenchii,-5.300530053030303e-5,37.9046811090979,33,r,gregoire2017,10
12_gregoire2017,9.2389,unknown,-7.500750075757577e-6,39.58559823145258,20,r,gregoire2017,12
12_gregoire2017,9.2389,unknown,-2.850285028409091e-5,38.66239587389746,27,r,gregoire2017,12
