rmax,topt,ctmin,ctmax,e,eh,q10,thermal_safety_margin,thermal_tolerance,breadth,skewness,tpc_grp,e_se,metabolic_category
8.044097164101405e-11,25.988,4.652999999999999,43.815,1.1430149859441983,0.5650273250646434,4.790777333493504,17.826999999999998,39.162,7.365000000000002,0.5779876608795549,1_aichelman2019,0.3507848123371303,r
6.990048393908503e-4,27.987000000000002,22.483000000000004,37.066,NA,1.7470979899191244,NA,9.079,14.582999999999998,2.6310000000000002,NA,1_edmunds2011,7.162567080407878,r
0.0012311843870576392,30.262999999999998,20.270000000000003,36.306,NA,3.1886614502682917,NA,6.042999999999999,16.035999999999994,2.968,NA,1_jiang2021,2.4238698090600113,r
1.0070264428731218e-6,20.764,7.419000000000004,27.226,1.4133090594721998,NA,NA,6.462,19.806999999999995,3.526,NA,1_previati2010,0.41124764858655505,r
6.792447863294874e-11,31.432000000000002,-4.337,34.811,0.7136476370682105,NA,2.508982906170802,3.378999999999998,39.147999999999996,4.828999999999997,NA,10_jurriaans2019,0.05705287583578506,r
1.425908049785684e-11,34,18.433999999999997,Inf,0.17605102852443846,NA,1.2497160793495632,Inf,Inf,10.73,NA,11_jurriaans2019,2.777267117821715,r
3.0950256550076154e-11,29.820999999999998,-8.585999999999999,38.589,0.5368565736092126,0.674117600979327,2.005805739208614,8.768,47.175,7.170999999999999,-0.13726102737011447,12_jurriaans2019,0.25746767965109724,r
1.1863851891605117e-9,34,6.5,Inf,0.1875462433186999,NA,1.267668200149699,Inf,Inf,8.822,NA,13_banc-prandi2022,5.557734048276978,r
2.328941247697961e-9,29.816,14.042000000000002,49.903999999999996,1.1714915608285967,0.6410433453075762,NA,20.087999999999997,35.861999999999995,6.665000000000003,0.5304482155210205,17_banc-prandi2022,0.24920268468522208,r
1.4973812606215548e-9,29.286,15.893999999999998,Inf,0.9750345324859757,0.10768611957178936,3.5592981622046973,Inf,Inf,9.882000000000001,0.8673484129141864,19_banc-prandi2022,2.0711435273769676,r
7.669489977128748e-11,30.703,2.5660000000000025,33.299,0.7710001173951073,NA,2.789387858378186,2.596,30.732999999999997,3.7399999999999984,NA,2_aichelman2019,0.17147479589882797,r
3.595190793510581e-4,27.595,24.228,35.091,NA,2.7733135904303077,NA,7.496000000000002,10.863,2.0239999999999974,NA,2_edmunds2011,7.98104625482664,r
2.1728398460860958e-5,17.535,-0.5519999999999996,31.114,1.118980887357304,NA,4.8569213918101335,13.579,31.666,5.994000000000003,NA,2_howe2001,0.49592948764880646,r
7.365482865135618e-7,17.54,8.581000000000003,37.436,NA,1.2431176018344943,NA,19.896,28.854999999999997,4.984999999999998,NA,2_previati2010,2.8640595431731297,r
