tpc_grp,depth_broad,broad_coral,latitude,species,mol_gCmin,sd_molgCmin,temp,cnidarian_type,metabolic_category,study_id
19_becker2021,shallow,hard,-17.5388,spp.,-1.4856088455284553e-11,NA,37,hermatypic coral,npp,becker2021
20_becker2021,shallow,hard,-17.5388,spp.,3.084797260162601e-11,NA,20,hermatypic coral,npp,becker2021
20_becker2021,shallow,hard,-17.5388,spp.,4.2482172764227636e-11,NA,22,hermatypic coral,npp,becker2021
20_becker2021,shallow,hard,-17.5388,spp.,5.1335173089430896e-11,NA,24,hermatypic coral,npp,becker2021
20_becker2021,shallow,hard,-17.5388,spp.,6.592675414634146e-11,NA,28,hermatypic coral,npp,becker2021
20_becker2021,shallow,hard,-17.5388,spp.,4.9190964065040644e-11,NA,30,hermatypic coral,npp,becker2021
20_becker2021,shallow,hard,-17.5388,spp.,4.558374788617886e-11,NA,32,hermatypic coral,npp,becker2021
20_becker2021,shallow,hard,-17.5388,spp.,3.917334951219512e-11,NA,34,hermatypic coral,npp,becker2021
20_becker2021,shallow,hard,-17.5388,spp.,2.432181707317073e-11,NA,36,hermatypic coral,npp,becker2021
20_becker2021,shallow,hard,-17.5388,spp.,-2.3157859918699186e-11,NA,37,hermatypic coral,npp,becker2021
21_becker2021,shallow,hard,-17.5388,spp.,2.3651201869918694e-11,NA,20,hermatypic coral,npp,becker2021
21_becker2021,shallow,hard,-17.5388,spp.,2.6945017723577233e-11,NA,22,hermatypic coral,npp,becker2021
21_becker2021,shallow,hard,-17.5388,spp.,3.989426357723577e-11,NA,24,hermatypic coral,npp,becker2021
21_becker2021,shallow,hard,-17.5388,spp.,5.174036869918699e-11,NA,28,hermatypic coral,npp,becker2021
21_becker2021,shallow,hard,-17.5388,spp.,4.7539854634146344e-11,NA,30,hermatypic coral,npp,becker2021
21_becker2021,shallow,hard,-17.5388,spp.,4.358503146341463e-11,NA,32,hermatypic coral,npp,becker2021
21_becker2021,shallow,hard,-17.5388,spp.,2.4086324634146338e-11,NA,34,hermatypic coral,npp,becker2021
21_becker2021,shallow,hard,-17.5388,spp.,-2.5247863414634146e-12,NA,36,hermatypic coral,npp,becker2021
21_becker2021,shallow,hard,-17.5388,spp.,-2.2637080569105693e-11,NA,37,hermatypic coral,npp,becker2021
22_becker2021,shallow,hard,-17.5388,spp.,3.445542967479675e-11,NA,20,hermatypic coral,npp,becker2021
22_becker2021,shallow,hard,-17.5388,spp.,4.274176991869919e-11,NA,22,hermatypic coral,npp,becker2021
22_becker2021,shallow,hard,-17.5388,spp.,4.537251699186992e-11,NA,24,hermatypic coral,npp,becker2021
22_becker2021,shallow,hard,-17.5388,spp.,6.069885934959349e-11,NA,28,hermatypic coral,npp,becker2021
22_becker2021,shallow,hard,-17.5388,spp.,5.1402303577235767e-11,NA,30,hermatypic coral,npp,becker2021
22_becker2021,shallow,hard,-17.5388,spp.,4.9932012845528455e-11,NA,32,hermatypic coral,npp,becker2021
22_becker2021,shallow,hard,-17.5388,spp.,3.056768658536585e-11,NA,34,hermatypic coral,npp,becker2021
22_becker2021,shallow,hard,-17.5388,spp.,1.625030975609756e-12,NA,36,hermatypic coral,npp,becker2021
22_becker2021,shallow,hard,-17.5388,spp.,-1.933032162601626e-11,NA,37,hermatypic coral,npp,becker2021
23_becker2021,shallow,hard,-17.5388,spp.,1.720798674796748e-11,NA,20,hermatypic coral,npp,becker2021
23_becker2021,shallow,hard,-17.5388,spp.,3.049112723577236e-11,NA,22,hermatypic coral,npp,becker2021
23_becker2021,shallow,hard,-17.5388,spp.,3.4307081463414636e-11,NA,24,hermatypic coral,npp,becker2021
23_becker2021,shallow,hard,-17.5388,spp.,4.390383447154471e-11,NA,28,hermatypic coral,npp,becker2021
23_becker2021,shallow,hard,-17.5388,spp.,3.616220788617886e-11,NA,30,hermatypic coral,npp,becker2021
23_becker2021,shallow,hard,-17.5388,spp.,3.0755028048780487e-11,NA,32,hermatypic coral,npp,becker2021
23_becker2021,shallow,hard,-17.5388,spp.,1.6656198780487805e-11,NA,34,hermatypic coral,npp,becker2021
23_becker2021,shallow,hard,-17.5388,spp.,4.1360451219512194e-12,NA,36,hermatypic coral,npp,becker2021
23_becker2021,shallow,hard,-17.5388,spp.,-1.680629487804878e-11,NA,37,hermatypic coral,npp,becker2021
24_becker2021,shallow,hard,-17.5388,spp.,3.138832317073171e-11,NA,20,hermatypic coral,npp,becker2021
24_becker2021,shallow,hard,-17.5388,spp.,4.03007162601626e-11,NA,22,hermatypic coral,npp,becker2021
24_becker2021,shallow,hard,-17.5388,spp.,4.4126599430894306e-11,NA,24,hermatypic coral,npp,becker2021
24_becker2021,shallow,hard,-17.5388,spp.,5.157956154471545e-11,NA,28,hermatypic coral,npp,becker2021
24_becker2021,shallow,hard,-17.5388,spp.,5.0027277886178855e-11,NA,30,hermatypic coral,npp,becker2021
24_becker2021,shallow,hard,-17.5388,spp.,3.9980205121951214e-11,NA,32,hermatypic coral,npp,becker2021
24_becker2021,shallow,hard,-17.5388,spp.,3.8797694308943084e-11,NA,34,hermatypic coral,npp,becker2021
24_becker2021,shallow,hard,-17.5388,spp.,1.5417900406504066e-11,NA,36,hermatypic coral,npp,becker2021
24_becker2021,shallow,hard,-17.5388,spp.,-1.720006487804878e-11,NA,37,hermatypic coral,npp,becker2021
25_becker2021,shallow,hard,-17.5388,spp.,1.7013916666666667e-11,NA,20,hermatypic coral,npp,becker2021
25_becker2021,shallow,hard,-17.5388,spp.,3.161757121951219e-11,NA,22,hermatypic coral,npp,becker2021
25_becker2021,shallow,hard,-17.5388,spp.,3.883775666666667e-11,NA,24,hermatypic coral,npp,becker2021
25_becker2021,shallow,hard,-17.5388,spp.,4.7707378211382116e-11,NA,28,hermatypic coral,npp,becker2021
25_becker2021,shallow,hard,-17.5388,spp.,4.7407148455284554e-11,NA,30,hermatypic coral,npp,becker2021
25_becker2021,shallow,hard,-17.5388,spp.,4.0415463089430896e-11,NA,32,hermatypic coral,npp,becker2021
25_becker2021,shallow,hard,-17.5388,spp.,2.971068162601626e-11,NA,34,hermatypic coral,npp,becker2021
25_becker2021,shallow,hard,-17.5388,spp.,5.763167073170732e-12,NA,36,hermatypic coral,npp,becker2021
25_becker2021,shallow,hard,-17.5388,spp.,-2.0925743089430894e-11,NA,37,hermatypic coral,npp,becker2021
26_becker2021,shallow,hard,-17.5388,spp.,2.3540598048780488e-11,NA,20,hermatypic coral,npp,becker2021
26_becker2021,shallow,hard,-17.5388,spp.,3.3272397723577235e-11,NA,22,hermatypic coral,npp,becker2021
26_becker2021,shallow,hard,-17.5388,spp.,4.221225089430894e-11,NA,24,hermatypic coral,npp,becker2021
26_becker2021,shallow,hard,-17.5388,spp.,5.677675325203252e-11,NA,28,hermatypic coral,npp,becker2021
26_becker2021,shallow,hard,-17.5388,spp.,5.2830600243902434e-11,NA,30,hermatypic coral,npp,becker2021
26_becker2021,shallow,hard,-17.5388,spp.,4.438271959349594e-11,NA,32,hermatypic coral,npp,becker2021
26_becker2021,shallow,hard,-17.5388,spp.,3.057495544715447e-11,NA,34,hermatypic coral,npp,becker2021
26_becker2021,shallow,hard,-17.5388,spp.,6.889736585365853e-12,NA,36,hermatypic coral,npp,becker2021
26_becker2021,shallow,hard,-17.5388,spp.,-1.507185926829268e-11,NA,37,hermatypic coral,npp,becker2021
27_becker2021,shallow,hard,-17.5388,spp.,2.5712471056910568e-11,NA,20,hermatypic coral,npp,becker2021
27_becker2021,shallow,hard,-17.5388,spp.,3.460014333333333e-11,NA,22,hermatypic coral,npp,becker2021
27_becker2021,shallow,hard,-17.5388,spp.,4.258140569105691e-11,NA,24,hermatypic coral,npp,becker2021
27_becker2021,shallow,hard,-17.5388,spp.,5.1382561219512195e-11,NA,28,hermatypic coral,npp,becker2021
27_becker2021,shallow,hard,-17.5388,spp.,4.6299249512195125e-11,NA,30,hermatypic coral,npp,becker2021
27_becker2021,shallow,hard,-17.5388,spp.,4.337138699186992e-11,NA,32,hermatypic coral,npp,becker2021
27_becker2021,shallow,hard,-17.5388,spp.,2.545312520325203e-11,NA,34,hermatypic coral,npp,becker2021
27_becker2021,shallow,hard,-17.5388,spp.,5.5379756097560966e-12,NA,36,hermatypic coral,npp,becker2021
27_becker2021,shallow,hard,-17.5388,spp.,-1.2921481463414633e-11,NA,37,hermatypic coral,npp,becker2021
28_becker2021,shallow,hard,-17.5388,spp.,8.473596991869918e-12,NA,20,hermatypic coral,npp,becker2021
28_becker2021,shallow,hard,-17.5388,spp.,9.690683577235773e-12,NA,22,hermatypic coral,npp,becker2021
28_becker2021,shallow,hard,-17.5388,spp.,1.2833795528455282e-11,NA,24,hermatypic coral,npp,becker2021
28_becker2021,shallow,hard,-17.5388,spp.,2.5878051707317073e-11,NA,28,hermatypic coral,npp,becker2021
28_becker2021,shallow,hard,-17.5388,spp.,2.194251943089431e-11,NA,30,hermatypic coral,npp,becker2021
