rmax,topt,ctmin,ctmax,e,eh,q10,thermal_safety_margin,thermal_tolerance,breadth,skewness,tpc_grp,e_se,metabolic_category
2.8399380165628467e-5,34.734,3.1540000000000035,80.247,0.6739283417889588,NA,2.4207722334794837,45.513,77.09299999999999,12.008,NA,12_russnak2021,0.21587718707693793,r
2.4344122532659853e-5,38.845,-10.985,41.788,0.4271695916357054,NA,1.7486735325118195,2.942999999999998,52.772999999999996,5.920000000000002,NA,14_russnak2021,0.11430355932365534,r
7.893254129174367e-5,38.614000000000004,10.889000000000003,41.327,0.8430107948363851,NA,2.939032850455026,2.712999999999994,30.437999999999995,3.8470000000000084,NA,18_russnak2021,0.13973174546159559,r
3.2650722444793476e-5,27.028,8.957,78.713,0.6777139472135445,0.28760453472052894,2.445596743447955,51.684999999999995,69.756,10.875999999999998,0.39010941249301556,26_russnak2021,0.8054713156331949,r
1.7528531000997742e-8,28,-Inf,41.912,NA,1.0401611004059845,NA,13.911999999999999,Inf,5.6030000000000015,NA,3_leggat2004,0.8776844619455474,r
2.318066944297111e-5,33.265,-Inf,36.257999999999996,0.2806060896489029,NA,1.4442672467672808,2.992999999999995,Inf,7.501999999999999,NA,30_russnak2021,0.2651598460241312,r
6.112685623836329e-5,31.659,-6.052,48.197,0.4899787128570783,NA,1.8900632352718523,16.538000000000004,54.249,7.855,NA,32_russnak2021,0.14618156501159368,r
1.2556390893190223e-8,36.102000000000004,-Inf,39.258,0.10814088938376047,7.4894035457688926,1.1435918292463074,3.155999999999999,Inf,8.495000000000005,-7.3812626563851325,4_leggat2004,0.19038649984340114,r
5.715627758040296e-5,38.879999999999995,-12.477999999999998,41.837,0.4119468353277782,NA,1.7109435574461214,2.957000000000008,54.315,6.030000000000001,NA,4_russnak2021,0.10617571570372768,r
6.162974833164966e-8,38.626000000000005,-Inf,41.794,0.23612111270270855,NA,1.3587093480319048,3.167999999999992,Inf,9.709,NA,8_pierangelini2020,0.044636939577448666,r
2.2428704571008852e-5,29.247,2.1090000000000018,Inf,0.5448556463626396,0.519112032929009,2.0981058029429738,Inf,Inf,18.012000000000008,0.02574361343363063,8_russnak2021,2.81498906663075,r
5.138089987789285e-8,29.916,4.074000000000002,40.532,NA,1.9866046482983155,NA,10.615999999999996,36.458,4.578000000000003,NA,1_leggat2004,1.2467650935207137,npp
4.863744488056942e-5,25.936,-3.210000000000001,49.93,0.5285540209442898,1.2426992105259678,2.047280220735136,23.994,53.14,10.020000000000003,-0.7141451895816779,1_russnak2021,0.4707555792417644,npp
3.730677066327782e-8,26.64,-1.7040000000000006,44.952,0.5829846982347415,1.363049291222657,2.190320740874618,18.311999999999998,46.656,8.686999999999998,-0.7800645929879155,10_pierangelini2020,0.6973757048660931,npp
3.70746686993326e-8,24.368000000000002,11.297000000000004,55.795,NA,0.6911852159462877,NA,31.427,44.498,7.402000000000001,NA,11_pierangelini2020,2.5333806678006776,npp
2.386211470902868e-5,22.963,8.594999999999999,Inf,1.173063274733822,0.39232119941419363,NA,Inf,Inf,12.111,0.7807420753196285,11_russnak2021,3.6916958324977314,npp
4.900428263964687e-8,24.817999999999998,4.706000000000003,82.715,NA,0.3800585458076563,NA,57.897000000000006,78.009,12.095000000000002,NA,12_pierangelini2020,4.386654951062947,npp
3.2594202190532254e-5,27.006,7.997,65.443,0.9533035796197178,0.6559179058244302,3.6247402655350833,38.437,57.446,9.858999999999995,0.2973856737952876,13_russnak2021,1.042420174557168,npp
1.9791917103946518e-4,37.997,10.049,40.695,0.8256520574704478,NA,2.8782495788717384,2.6980000000000004,30.646,3.625,NA,17_russnak2021,0.4568544450469416,npp
4.292974394390337e-5,24.367,-23.313,50.774,0.18574967270476558,0.5028005580647328,1.280439922628201,26.407,74.087,10.457999999999998,-0.31705088535996717,19_russnak2021,0.2623097925544953,npp
5.6784681506470105e-8,29,-Inf,39.438,NA,0.895842146406544,NA,10.438000000000002,Inf,7.028999999999996,NA,2_leggat2004,0.0025667909430686533,npp
4.2418099572568885e-5,26.323999999999998,-Inf,39.14,0.1340228837402577,1.0285255125553228,1.1932887669686627,12.816000000000003,Inf,10.813000000000002,-0.894502628815065,23_russnak2021,0.04960969801661956,npp
4.096833090974555e-5,20,-Inf,44.303,NA,0.3509597796460196,NA,24.302999999999997,Inf,8.841000000000001,NA,25_russnak2021,0.5274006956283102,npp
6.0098679880595954e-5,21.951,17.189999999999998,Inf,NA,0.3108862314073978,NA,Inf,Inf,8.02,NA,27_russnak2021,25.683307892197384,npp
4.383542780977946e-5,23.068,-12.570999999999998,43.135999999999996,NA,0.7963553710376111,NA,20.067999999999994,55.706999999999994,7.648,NA,29_russnak2021,0.35932800216688787,npp
1.0200196113094857e-4,24.732,2.9480000000000004,47.884,0.9731683307072752,0.7609052961807335,3.8537199949014456,23.152,44.936,8.457999999999998,0.2122630345265416,3_russnak2021,0.681427609669388,npp
9.504618597455855e-5,23.691,-12.469000000000001,43.681,NA,0.7202206974029446,NA,19.99,56.15,8.29,NA,31_russnak2021,0.2460064708366781,npp
