tpc_grp,response_id,study_id,depth_broad,broad_coral,latitude,species,mol_gCmin,metabolic_category
21_becker2021,21,becker2021,shallow,hard,-17.5388,spp.,-2.3526418181818178e-12,npp
21_becker2021,21,becker2021,shallow,hard,-17.5388,spp.,-2.109364325757576e-11,npp
22_becker2021,22,becker2021,shallow,hard,-17.5388,spp.,3.210619583333333e-11,npp
22_becker2021,22,becker2021,shallow,hard,-17.5388,spp.,3.982755833333334e-11,npp
22_becker2021,22,becker2021,shallow,hard,-17.5388,spp.,4.2278936287878784e-11,npp
22_becker2021,22,becker2021,shallow,hard,-17.5388,spp.,5.6560300757575757e-11,npp
22_becker2021,22,becker2021,shallow,hard,-17.5388,spp.,4.789760106060606e-11,npp
22_becker2021,22,becker2021,shallow,hard,-17.5388,spp.,4.6527557424242426e-11,npp
22_becker2021,22,becker2021,shallow,hard,-17.5388,spp.,2.848352613636363e-11,npp
22_becker2021,22,becker2021,shallow,hard,-17.5388,spp.,1.514233409090909e-12,npp
22_becker2021,22,becker2021,shallow,hard,-17.5388,spp.,-1.801234515151515e-11,npp
23_becker2021,23,becker2021,shallow,hard,-17.5388,spp.,1.6034714924242424e-11,npp
23_becker2021,23,becker2021,shallow,hard,-17.5388,spp.,2.841218674242424e-11,npp
23_becker2021,23,becker2021,shallow,hard,-17.5388,spp.,3.196796227272727e-11,npp
23_becker2021,23,becker2021,shallow,hard,-17.5388,spp.,4.0910391212121205e-11,npp
23_becker2021,23,becker2021,shallow,hard,-17.5388,spp.,3.36966028030303e-11,npp
23_becker2021,23,becker2021,shallow,hard,-17.5388,spp.,2.8658094318181817e-11,npp
23_becker2021,23,becker2021,shallow,hard,-17.5388,spp.,1.5520548863636363e-11,npp
23_becker2021,23,becker2021,shallow,hard,-17.5388,spp.,3.854042045454545e-12,npp
23_becker2021,23,becker2021,shallow,hard,-17.5388,spp.,-1.5660411136363637e-11,npp
24_becker2021,24,becker2021,shallow,hard,-17.5388,spp.,2.924821022727273e-11,npp
24_becker2021,24,becker2021,shallow,hard,-17.5388,spp.,3.755294015151515e-11,npp
24_becker2021,24,becker2021,shallow,hard,-17.5388,spp.,4.1117967651515147e-11,npp
24_becker2021,24,becker2021,shallow,hard,-17.5388,spp.,4.8062773257575756e-11,npp
24_becker2021,24,becker2021,shallow,hard,-17.5388,spp.,4.661632712121211e-11,npp
24_becker2021,24,becker2021,shallow,hard,-17.5388,spp.,3.725428204545454e-11,npp
24_becker2021,24,becker2021,shallow,hard,-17.5388,spp.,3.6152396969696956e-11,npp
24_becker2021,24,becker2021,shallow,hard,-17.5388,spp.,1.4366679924242424e-11,npp
24_becker2021,24,becker2021,shallow,hard,-17.5388,spp.,-1.602733318181818e-11,npp
25_becker2021,25,becker2021,shallow,hard,-17.5388,spp.,1.5853876893939394e-11,npp
25_becker2021,25,becker2021,shallow,hard,-17.5388,spp.,2.9461827727272726e-11,npp
25_becker2021,25,becker2021,shallow,hard,-17.5388,spp.,3.6189727803030296e-11,npp
25_becker2021,25,becker2021,shallow,hard,-17.5388,spp.,4.445460242424243e-11,npp
25_becker2021,25,becker2021,shallow,hard,-17.5388,spp.,4.417484287878788e-11,npp
25_becker2021,25,becker2021,shallow,hard,-17.5388,spp.,3.7659863333333334e-11,npp
25_becker2021,25,becker2021,shallow,hard,-17.5388,spp.,2.7684953333333328e-11,npp
25_becker2021,25,becker2021,shallow,hard,-17.5388,spp.,5.370223863636364e-12,npp
25_becker2021,25,becker2021,shallow,hard,-17.5388,spp.,-1.949898787878788e-11,npp
26_becker2021,26,becker2021,shallow,hard,-17.5388,spp.,2.1935557272727272e-11,npp
26_becker2021,26,becker2021,shallow,hard,-17.5388,spp.,3.100382515151515e-11,npp
26_becker2021,26,becker2021,shallow,hard,-17.5388,spp.,3.933414287878787e-11,npp
26_becker2021,26,becker2021,shallow,hard,-17.5388,spp.,5.2905610984848476e-11,npp
26_becker2021,26,becker2021,shallow,hard,-17.5388,spp.,4.922851386363636e-11,npp
26_becker2021,26,becker2021,shallow,hard,-17.5388,spp.,4.135662507575758e-11,npp
26_becker2021,26,becker2021,shallow,hard,-17.5388,spp.,2.8490299393939395e-11,npp
26_becker2021,26,becker2021,shallow,hard,-17.5388,spp.,6.419981818181818e-12,npp
26_becker2021,26,becker2021,shallow,hard,-17.5388,spp.,-1.40442325e-11,npp
27_becker2021,27,becker2021,shallow,hard,-17.5388,spp.,2.3959348030303027e-11,npp
27_becker2021,27,becker2021,shallow,hard,-17.5388,spp.,3.2241042651515145e-11,npp
27_becker2021,27,becker2021,shallow,hard,-17.5388,spp.,3.967812803030303e-11,npp
27_becker2021,27,becker2021,shallow,hard,-17.5388,spp.,4.7879204772727274e-11,npp
27_becker2021,27,becker2021,shallow,hard,-17.5388,spp.,4.31424825e-11,npp
27_becker2021,27,becker2021,shallow,hard,-17.5388,spp.,4.041424696969697e-11,npp
27_becker2021,27,becker2021,shallow,hard,-17.5388,spp.,2.3717684848484847e-11,npp
27_becker2021,27,becker2021,shallow,hard,-17.5388,spp.,5.160386363636363e-12,npp
27_becker2021,27,becker2021,shallow,hard,-17.5388,spp.,-1.2040471363636363e-11,npp
28_becker2021,28,becker2021,shallow,hard,-17.5388,spp.,7.895851742424242e-12,npp
28_becker2021,28,becker2021,shallow,hard,-17.5388,spp.,9.029955151515153e-12,npp
28_becker2021,28,becker2021,shallow,hard,-17.5388,spp.,1.1958764015151511e-11,npp
28_becker2021,28,becker2021,shallow,hard,-17.5388,spp.,2.4113639090909093e-11,npp
28_becker2021,28,becker2021,shallow,hard,-17.5388,spp.,2.0446438560606063e-11,npp
28_becker2021,28,becker2021,shallow,hard,-17.5388,spp.,1.7336570681818182e-11,npp
28_becker2021,28,becker2021,shallow,hard,-17.5388,spp.,6.207214545454545e-12,npp
28_becker2021,28,becker2021,shallow,hard,-17.5388,spp.,-4.924855681818182e-12,npp
28_becker2021,28,becker2021,shallow,hard,-17.5388,spp.,-1.8489778939393934e-11,npp
29_becker2021,29,becker2021,shallow,hard,-17.5388,spp.,2.0962710151515153e-11,npp
29_becker2021,29,becker2021,shallow,hard,-17.5388,spp.,1.7284107878787878e-11,npp
29_becker2021,29,becker2021,shallow,hard,-17.5388,spp.,2.0050942575757575e-11,npp
29_becker2021,29,becker2021,shallow,hard,-17.5388,spp.,2.0122818409090905e-11,npp
29_becker2021,29,becker2021,shallow,hard,-17.5388,spp.,1.7977895454545452e-11,npp
29_becker2021,29,becker2021,shallow,hard,-17.5388,spp.,1.4911907954545452e-11,npp
29_becker2021,29,becker2021,shallow,hard,-17.5388,spp.,3.5165129545454544e-12,npp
29_becker2021,29,becker2021,shallow,hard,-17.5388,spp.,-6.9785873484848484e-12,npp
29_becker2021,29,becker2021,shallow,hard,-17.5388,spp.,-2.45311075e-11,npp
30_becker2021,30,becker2021,shallow,hard,-17.5388,spp.,1.843979712121212e-11,npp
30_becker2021,30,becker2021,shallow,hard,-17.5388,spp.,2.5999248712121207e-11,npp
30_becker2021,30,becker2021,shallow,hard,-17.5388,spp.,3.528449939393939e-11,npp
30_becker2021,30,becker2021,shallow,hard,-17.5388,spp.,4.3541634090909093e-11,npp
30_becker2021,30,becker2021,shallow,hard,-17.5388,spp.,3.831040477272727e-11,npp
30_becker2021,30,becker2021,shallow,hard,-17.5388,spp.,3.4619341893939394e-11,npp
30_becker2021,30,becker2021,shallow,hard,-17.5388,spp.,1.5576902045454542e-11,npp
30_becker2021,30,becker2021,shallow,hard,-17.5388,spp.,-4.759454166666667e-12,npp
30_becker2021,30,becker2021,shallow,hard,-17.5388,spp.,-2.4552617424242425e-11,npp
31_becker2021,31,becker2021,shallow,hard,-17.5388,spp.,1.9912762272727268e-11,npp
31_becker2021,31,becker2021,shallow,hard,-17.5388,spp.,2.9692351287878786e-11,npp
31_becker2021,31,becker2021,shallow,hard,-17.5388,spp.,3.6869965e-11,npp
31_becker2021,31,becker2021,shallow,hard,-17.5388,spp.,4.6443019318181816e-11,npp
31_becker2021,31,becker2021,shallow,hard,-17.5388,spp.,4.44820675e-11,npp
31_becker2021,31,becker2021,shallow,hard,-17.5388,spp.,4.143039878787879e-11,npp
31_becker2021,31,becker2021,shallow,hard,-17.5388,spp.,2.8870208939393938e-11,npp
31_becker2021,31,becker2021,shallow,hard,-17.5388,spp.,1.1572109772727272e-11,npp
31_becker2021,31,becker2021,shallow,hard,-17.5388,spp.,-8.730070530303029e-12,npp
32_becker2021,32,becker2021,shallow,hard,-17.5388,spp.,1.6859820378787874e-11,npp
32_becker2021,32,becker2021,shallow,hard,-17.5388,spp.,1.9620716515151515e-11,npp
32_becker2021,32,becker2021,shallow,hard,-17.5388,spp.,2.4662479393939392e-11,npp
32_becker2021,32,becker2021,shallow,hard,-17.5388,spp.,3.187940053030303e-11,npp
32_becker2021,32,becker2021,shallow,hard,-17.5388,spp.,2.6524131818181814e-11,npp
32_becker2021,32,becker2021,shallow,hard,-17.5388,spp.,2.398690590909091e-11,npp
32_becker2021,32,becker2021,shallow,hard,-17.5388,spp.,1.3486942954545454e-11,npp
32_becker2021,32,becker2021,shallow,hard,-17.5388,spp.,-2.8833047727272728e-12,npp
32_becker2021,32,becker2021,shallow,hard,-17.5388,spp.,-1.5208444772727272e-11,npp
2_jiang2021,2,jiang2021,shallow,hard,18.2217,damicornis,4.630668410725964e-4,npp
2_jiang2021,2,jiang2021,shallow,hard,18.2217,damicornis,8.831687115761936e-4,npp
2_jiang2021,2,jiang2021,shallow,hard,18.2217,damicornis,0.00114573238718116,npp
2_jiang2021,2,jiang2021,shallow,hard,18.2217,damicornis,8.640731720078482e-4,npp
2_jiang2021,2,jiang2021,shallow,hard,18.2217,damicornis,-2.2437258992805755e-4,npp
1_castillohelmuth2005,1,castillohelmuth2005,shallow,hard,16.1,annularis,5.950552826704545e-11,npp
1_castillohelmuth2005,1,castillohelmuth2005,shallow,hard,16.1,annularis,8.509930385890152e-11,npp
1_castillohelmuth2005,1,castillohelmuth2005,shallow,hard,16.1,annularis,1.2668918918087118e-10,npp
1_castillohelmuth2005,1,castillohelmuth2005,shallow,hard,16.1,annularis,1.0109541358901515e-10,npp
1_castillohelmuth2005,1,castillohelmuth2005,shallow,hard,16.1,annularis,1.1709152334280302e-10,npp
