tpc_grp,latitude,species,mol_gCmin,inv_T,temp,metabolic_category,study_id,paper_unit
11_gregoire2017,9.2389,unknown,1.1151115109848486e-4,38.66239587389746,27,npp,gregoire2017,11
11_gregoire2017,9.2389,unknown,9.400940094696972e-5,38.27978928434875,30,npp,gregoire2017,11
11_gregoire2017,9.2389,unknown,4.500450045454546e-5,37.9046811090979,33,npp,gregoire2017,11
1_oakley2014,9.2389,minutum,7.713127743623282e-8,39.31735768778696,22,npp,oakley2014,1
1_oakley2014,9.2389,minutum,8.860535173315892e-8,38.79163670917708,26,npp,oakley2014,1
1_oakley2014,9.2389,minutum,1.0964115467625895e-7,38.27978928434875,30,npp,oakley2014,1
1_oakley2014,9.2389,minutum,1.0390411752779593e-7,37.781273389387344,34,npp,oakley2014,1
2_oakley2014,36.2048,trenchii,3.7609465853499014e-8,39.31735768778696,22,npp,oakley2014,2
2_oakley2014,36.2048,trenchii,2.8685185820797906e-8,38.79163670917708,26,npp,oakley2014,2
2_oakley2014,36.2048,trenchii,3.250987726618704e-8,38.27978928434875,30,npp,oakley2014,2
2_oakley2014,36.2048,trenchii,3.729074156965336e-8,37.781273389387344,34,npp,oakley2014,2
3_oakley2014,21.4691,unknown,3.697201727926749e-8,39.31735768778696,22,npp,oakley2014,3
3_oakley2014,21.4691,unknown,3.1234980117723996e-8,38.79163670917708,26,npp,oakley2014,3
3_oakley2014,21.4691,unknown,2.741028867233485e-8,38.27978928434875,30,npp,oakley2014,3
3_oakley2014,21.4691,unknown,2.6772840098103326e-8,37.781273389387344,34,npp,oakley2014,3
4_oakley2014,32.3078,minutum,4.7171194466971866e-8,39.31735768778696,22,npp,oakley2014,4
4_oakley2014,32.3078,minutum,4.653374589274035e-8,38.79163670917708,26,npp,oakley2014,4
4_oakley2014,32.3078,minutum,3.9521811576193584e-8,38.27978928434875,30,npp,oakley2014,4
4_oakley2014,32.3078,minutum,3.378477441465009e-8,37.781273389387344,34,npp,oakley2014,4
1_iglesios-prieto1992,21.4691,microadriaticum,2.23124897383911e-8,39.58559823145258,20,npp,iglesios-prieto1992,1
1_iglesios-prieto1992,21.4691,microadriaticum,3.615438568999345e-8,38.92174449622782,25,npp,iglesios-prieto1992,1
1_iglesios-prieto1992,21.4691,microadriaticum,3.3504735284499666e-8,38.27978928434875,30,npp,iglesios-prieto1992,1
