tpc_grp,response_id,study_id,elevation_broad,lichen_type,latitude,species,inv_T,mol_gCmin,metabolic_category
3_domaschke2013,3,domaschke2013,neutral,green algae,-62.24,aculeata,38.92174449622782,-7.194968555999999e-8,npp
3_domaschke2013,3,domaschke2013,neutral,green algae,-62.24,aculeata,38.27978928434875,-1.0012578612e-7,npp
4_domaschke2013,4,domaschke2013,neutral,green algae,78.1,aculeata,42.4840495022893,8.55345912e-9,npp
4_domaschke2013,4,domaschke2013,neutral,green algae,78.1,aculeata,41.720359955241136,8.503144656e-8,npp
4_domaschke2013,4,domaschke2013,neutral,green algae,78.1,aculeata,40.9836416088657,1.2930817608e-7,npp
4_domaschke2013,4,domaschke2013,neutral,green algae,78.1,aculeata,40.27249044438772,6.490566036e-8,npp
4_domaschke2013,4,domaschke2013,neutral,green algae,78.1,aculeata,39.58559823145258,6.088050312e-8,npp
4_domaschke2013,4,domaschke2013,neutral,green algae,78.1,aculeata,38.92174449622782,-5.5849056599999994e-8,npp
4_domaschke2013,4,domaschke2013,neutral,green algae,78.1,aculeata,38.27978928434875,-8.000000004e-8,npp
1_kappen1988,1,kappen1988,neutral,green algae,57,ochroleuca,41.42251694288889,2.499431947284708e-7,npp
2_kappen1988,2,kappen1988,neutral,green algae,75,ochroleuca,41.42251694288889,6.059228963114444e-8,npp
3_lange1969,3,lange1969,neutral,green algae,30.7944,maciformis,39.58559823145258,1.514807240778611e-6,npp
4_kappen1988,4,kappen1988,neutral,green algae,54.526,vermicularis,40.27249044438772,8.861622358554873e-7,npp
5_kappen1995,5,kappen1995,neutral,green algae,-82.8628,antarctica,40.55396862327563,2.2722108611679162e-7,npp
1_lange2000,1,lange2000,high,cyanobacteria,8,phyllocarpum,40.55396862327563,8.1003963012e-4,npp
1_lange2000,1,lange2000,high,cyanobacteria,8,phyllocarpum,40.696188397511214,0.00165019815,npp
1_lange2000,1,lange2000,high,cyanobacteria,8,phyllocarpum,40.41273940989142,0.0018562747692,npp
1_lange2000,1,lange2000,high,cyanobacteria,8,phyllocarpum,39.857524030741274,0.00295006604999999,npp
1_lange2000,1,lange2000,high,cyanobacteria,8,phyllocarpum,39.857524030741274,0.0023556142668,npp
1_lange2000,1,lange2000,high,cyanobacteria,8,phyllocarpum,39.857524030741274,0.00222879788639999,npp
1_lange2000,1,lange2000,high,cyanobacteria,8,phyllocarpum,39.7210957437971,0.00228428005319999,npp
1_lange2000,1,lange2000,high,cyanobacteria,8,phyllocarpum,39.451022000851,0.0024903566712,npp
1_lange2000,1,lange2000,high,cyanobacteria,8,phyllocarpum,39.451022000851,0.00242694848039999,npp
1_lange2000,1,lange2000,high,cyanobacteria,8,phyllocarpum,39.05272798771773,0.0024745046232,npp
1_lange2000,1,lange2000,high,cyanobacteria,8,phyllocarpum,39.31735768778696,0.0030768824304,npp
