tpc_grp,latitude,species,mol_gCmin,sd_molgCmin,temp,metabolic_category,study_id
5_fujita2014,26.2,kudakajimensis,4.326241133333334e-14,NA,10,npp,fujita2014
5_fujita2014,26.2,kudakajimensis,1.1985815603333336e-13,NA,10,npp,fujita2014
5_fujita2014,26.2,kudakajimensis,1.326241134666667e-13,NA,13,npp,fujita2014
5_fujita2014,26.2,kudakajimensis,1.475177305e-13,NA,15,npp,fujita2014
5_fujita2014,26.2,kudakajimensis,1.3049645390000002e-13,NA,15,npp,fujita2014
5_fujita2014,26.2,kudakajimensis,7.304964540000001e-14,NA,15,npp,fujita2014
5_fujita2014,26.2,kudakajimensis,2.326241134666667e-13,NA,15,npp,fujita2014
5_fujita2014,26.2,kudakajimensis,2.6879432623333334e-13,NA,15,npp,fujita2014
5_fujita2014,26.2,kudakajimensis,3.134751773e-13,NA,15,npp,fujita2014
5_fujita2014,26.2,kudakajimensis,2.347517730333333e-13,NA,18,npp,fujita2014
5_fujita2014,26.2,kudakajimensis,2.475177305e-13,NA,20,npp,fujita2014
5_fujita2014,26.2,kudakajimensis,2.6241134753333334e-13,NA,20,npp,fujita2014
5_fujita2014,26.2,kudakajimensis,2.836879432666667e-13,NA,20,npp,fujita2014
5_fujita2014,26.2,kudakajimensis,3.4326241133333336e-13,NA,20,npp,fujita2014
5_fujita2014,26.2,kudakajimensis,3.6453900700000004e-13,NA,23,npp,fujita2014
5_fujita2014,26.2,kudakajimensis,3.85815603e-13,NA,25,npp,fujita2014
5_fujita2014,26.2,kudakajimensis,3.177304964666667e-13,NA,25,npp,fujita2014
5_fujita2014,26.2,kudakajimensis,2.90070922e-13,NA,25,npp,fujita2014
5_fujita2014,26.2,kudakajimensis,2.645390071e-13,NA,25,npp,fujita2014
5_fujita2014,26.2,kudakajimensis,2.560283688e-13,NA,25,npp,fujita2014
5_fujita2014,26.2,kudakajimensis,5.028368793333334e-13,NA,20,npp,fujita2014
5_fujita2014,26.2,kudakajimensis,6.581560283333335e-13,NA,20,npp,fujita2014
5_fujita2014,26.2,kudakajimensis,4.985815603333333e-13,NA,25,npp,fujita2014
5_fujita2014,26.2,kudakajimensis,6.709219856666666e-13,NA,25,npp,fujita2014
5_fujita2014,26.2,kudakajimensis,6.326241133333334e-13,NA,25,npp,fujita2014
5_fujita2014,26.2,kudakajimensis,6.326241133333334e-13,NA,30,npp,fujita2014
5_fujita2014,26.2,kudakajimensis,5.517730496666667e-13,NA,30,npp,fujita2014
5_fujita2014,26.2,kudakajimensis,5.304964540000001e-13,NA,30,npp,fujita2014
5_fujita2014,26.2,kudakajimensis,4.028368793333333e-13,NA,30,npp,fujita2014
5_fujita2014,26.2,kudakajimensis,3.2836879433333334e-13,NA,30,npp,fujita2014
5_fujita2014,26.2,kudakajimensis,4.2411347533333337e-13,NA,35,npp,fujita2014
5_fujita2014,26.2,kudakajimensis,4.028368793333333e-13,NA,35,npp,fujita2014
5_fujita2014,26.2,kudakajimensis,3.6241134766666666e-13,NA,35,npp,fujita2014
5_fujita2014,26.2,kudakajimensis,3.4964539e-13,NA,35,npp,fujita2014
