tpc_grp,lichen_type,elevation_broad,latitude,species,mol_gCmin,inv_T,temp,metabolic_category,study_id,paper_unit
1_domaschke_2013,green algae,neutral,49.58,aculeata,1.01031446544e-6,40.9836416088657,10,gpp,domaschke_2013,1
1_domaschke_2013,green algae,neutral,49.58,aculeata,9.096855345599998e-7,40.27249044438772,15,gpp,domaschke_2013,1
1_domaschke_2013,green algae,neutral,49.58,aculeata,1.3846540880399998e-6,39.58559823145258,20,gpp,domaschke_2013,1
1_domaschke_2013,green algae,neutral,49.58,aculeata,1.41283018872e-6,38.92174449622782,25,gpp,domaschke_2013,1
1_domaschke_2013,green algae,neutral,49.58,aculeata,8.291823898799998e-7,38.27978928434875,30,gpp,domaschke_2013,1
2_domaschke_2013,green algae,neutral,41.39,aculeata,2.1735849059999995e-7,42.4840495022893,0,gpp,domaschke_2013,2
2_domaschke_2013,green algae,neutral,41.39,aculeata,3.9044025167999996e-7,41.720359955241136,5,gpp,domaschke_2013,2
2_domaschke_2013,green algae,neutral,41.39,aculeata,7.688050315199999e-7,40.9836416088657,10,gpp,domaschke_2013,2
2_domaschke_2013,green algae,neutral,41.39,aculeata,6.681761006399998e-7,40.27249044438772,15,gpp,domaschke_2013,2
2_domaschke_2013,green algae,neutral,41.39,aculeata,8.573584905599999e-7,39.58559823145258,20,gpp,domaschke_2013,2
2_domaschke_2013,green algae,neutral,41.39,aculeata,8.171069181599998e-7,38.92174449622782,25,gpp,domaschke_2013,2
2_domaschke_2013,green algae,neutral,41.39,aculeata,5.8767295596e-7,38.27978928434875,30,gpp,domaschke_2013,2
3_domaschke_2013,green algae,neutral,-62.24,aculeata,9.257861639999999e-8,42.4840495022893,0,gpp,domaschke_2013,3
3_domaschke_2013,green algae,neutral,-62.24,aculeata,1.4088050303999997e-7,41.720359955241136,5,gpp,domaschke_2013,3
3_domaschke_2013,green algae,neutral,-62.24,aculeata,2.495597484e-7,40.9836416088657,10,gpp,domaschke_2013,3
3_domaschke_2013,green algae,neutral,-62.24,aculeata,2.374842768e-7,40.27249044438772,15,gpp,domaschke_2013,3
3_domaschke_2013,green algae,neutral,-62.24,aculeata,2.9786163527999997e-7,39.58559823145258,20,gpp,domaschke_2013,3
3_domaschke_2013,green algae,neutral,-62.24,aculeata,2.696855346e-7,38.92174449622782,25,gpp,domaschke_2013,3
3_domaschke_2013,green algae,neutral,-62.24,aculeata,2.0930817612e-7,38.27978928434875,30,gpp,domaschke_2013,3
4_domaschke_2013,green algae,neutral,78.1,aculeata,9.660377364e-8,42.4840495022893,0,gpp,domaschke_2013,4
4_domaschke_2013,green algae,neutral,78.1,aculeata,2.0528301887999998e-7,41.720359955241136,5,gpp,domaschke_2013,4
4_domaschke_2013,green algae,neutral,78.1,aculeata,2.495597484e-7,40.9836416088657,10,gpp,domaschke_2013,4
4_domaschke_2013,green algae,neutral,78.1,aculeata,2.4150943391999997e-7,40.27249044438772,15,gpp,domaschke_2013,4
4_domaschke_2013,green algae,neutral,78.1,aculeata,3.2603773584e-7,39.58559823145258,20,gpp,domaschke_2013,4
4_domaschke_2013,green algae,neutral,78.1,aculeata,2.7773584907999996e-7,38.92174449622782,25,gpp,domaschke_2013,4
4_domaschke_2013,green algae,neutral,78.1,aculeata,3.0993710687999996e-7,38.27978928434875,30,gpp,domaschke_2013,4
1_lange2000,cyanobacteria,high,8,phyllocarpum,0.0015376486129199999,40.55396862327563,13,gpp,lange2000,1
1_lange2000,cyanobacteria,high,8,phyllocarpum,0.0025838837519999995,39.7210957437971,19,gpp,lange2000,1
1_lange2000,cyanobacteria,high,8,phyllocarpum,0.00330515191548,39.857524030741274,18,gpp,lange2000,1
1_lange2000,cyanobacteria,high,8,phyllocarpum,0.0044385733152,39.31735768778696,22,gpp,lange2000,1
1_lange2000,cyanobacteria,high,8,phyllocarpum,0.0047397622188000005,38.92174449622782,25,gpp,lange2000,1
