tpc_grp,lichen_type,elevation_broad,latitude,species,mol_gCmin,sd_molgCmin,temp,metabolic_category,study_id,paper_unit,mol_grammin
6_domaschke2013,green algae,neutral,41.39,aculeata,-1.5647798747999998e-7,NA,15,r,domaschke2013,6,1.5647798747999998e-7
6_domaschke2013,green algae,neutral,41.39,aculeata,-2.4503144652e-7,NA,20,r,domaschke2013,6,2.4503144652e-7
6_domaschke2013,green algae,neutral,41.39,aculeata,-3.7383647795999993e-7,NA,25,r,domaschke2013,6,3.7383647795999993e-7
6_domaschke2013,green algae,neutral,41.39,aculeata,-4.462893081599999e-7,NA,30,r,domaschke2013,6,4.462893081599999e-7
7_domaschke2013,green algae,neutral,-62.24,aculeata,-7.597484279999999e-8,NA,0,r,domaschke2013,7,7.597484279999999e-8
7_domaschke2013,green algae,neutral,-62.24,aculeata,-9.610062888e-8,NA,5,r,domaschke2013,7,9.610062888e-8
7_domaschke2013,green algae,neutral,-62.24,aculeata,-1.4037735852e-7,NA,10,r,domaschke2013,7,1.4037735852e-7
7_domaschke2013,green algae,neutral,-62.24,aculeata,-1.4037735852e-7,NA,15,r,domaschke2013,7,1.4037735852e-7
7_domaschke2013,green algae,neutral,-62.24,aculeata,-2.7723270443999996e-7,NA,20,r,domaschke2013,7,2.7723270443999996e-7
7_domaschke2013,green algae,neutral,-62.24,aculeata,-3.416352201599999e-7,NA,25,r,domaschke2013,7,3.416352201599999e-7
7_domaschke2013,green algae,neutral,-62.24,aculeata,-3.0943396223999997e-7,NA,30,r,domaschke2013,7,3.0943396223999997e-7
8_domaschke2013,green algae,neutral,78.1,aculeata,-8.805031452e-8,NA,0,r,domaschke2013,8,8.805031452e-8
8_domaschke2013,green algae,neutral,78.1,aculeata,-1.2025157232e-7,NA,5,r,domaschke2013,8,1.2025157232e-7
8_domaschke2013,green algae,neutral,78.1,aculeata,-1.2025157232e-7,NA,10,r,domaschke2013,8,1.2025157232e-7
8_domaschke2013,green algae,neutral,78.1,aculeata,-1.7660377355999996e-7,NA,15,r,domaschke2013,8,1.7660377355999996e-7
8_domaschke2013,green algae,neutral,78.1,aculeata,-2.6515723271999997e-7,NA,20,r,domaschke2013,8,2.6515723271999997e-7
8_domaschke2013,green algae,neutral,78.1,aculeata,-3.3358490567999996e-7,NA,25,r,domaschke2013,8,3.3358490567999996e-7
8_domaschke2013,green algae,neutral,78.1,aculeata,-3.8993710691999996e-7,NA,30,r,domaschke2013,8,3.8993710691999996e-7
2_lange2000,cyanobacteria,high,8,phyllocarpum,-7.276089827999999e-4,NA,13,r,lange2000,2,7.276089827999999e-4
2_lange2000,cyanobacteria,high,8,phyllocarpum,-2.9960369879999997e-4,NA,19,r,lange2000,2,2.9960369879999997e-4
2_lange2000,cyanobacteria,high,8,phyllocarpum,-0.0010763540290800002,NA,18,r,lange2000,2,0.0010763540290800002
2_lange2000,cyanobacteria,high,8,phyllocarpum,-0.0013616908848,NA,22,r,lange2000,2,0.0013616908848
2_lange2000,cyanobacteria,high,8,phyllocarpum,-0.001757992074,NA,25,r,lange2000,2,0.001757992074
2_lange2000,cyanobacteria,high,8,phyllocarpum,-0.0011397622192799999,NA,29,r,lange2000,2,0.0011397622192799999
