tpc_grp,latitude,species,mol_gCmin,inv_T,temp,metabolic_category,study_id,paper_unit
9_oakley2014,9.2389,minutum,1.163343647482014e-7,38.79163670917708,26,gpp,oakley2014,9
9_oakley2014,9.2389,minutum,1.4183230765206015e-7,38.27978928434875,30,gpp,oakley2014,9
9_oakley2014,9.2389,minutum,1.4278848051013733e-7,37.781273389387344,34,gpp,oakley2014,9
10_oakley2014,36.2048,trenchii,4.812736732504904e-8,39.31735768778696,22,gpp,oakley2014,10
10_oakley2014,36.2048,trenchii,4.239033015696533e-8,38.79163670917708,26,gpp,oakley2014,10
10_oakley2014,36.2048,trenchii,5.0039713047743615e-08,38.27978928434875,30,gpp,oakley2014,10
10_oakley2014,36.2048,trenchii,6.278868452583387e-8,37.781273389387344,34,gpp,oakley2014,10
11_oakley2014,21.4691,unknown,4.8764815899280564e-8,39.31735768778696,22,gpp,oakley2014,11
11_oakley2014,21.4691,unknown,3.9840535866579457e-8,38.79163670917708,26,gpp,oakley2014,11
11_oakley2014,21.4691,unknown,4.1434157298888155e-8,38.27978928434875,30,gpp,oakley2014,11
11_oakley2014,21.4691,unknown,6.852572171353825e-8,37.781273389387344,34,gpp,oakley2014,11
12_oakley2014,32.3078,minutum,6.820699738391104e-8,39.31735768778696,22,gpp,oakley2014,12
12_oakley2014,32.3078,minutum,6.756954885546106e-8,38.79163670917708,26,gpp,oakley2014,12
12_oakley2014,32.3078,minutum,5.1633334480052313e-8,38.27978928434875,30,gpp,oakley2014,12
12_oakley2014,32.3078,minutum,5.513930163505559e-8,37.781273389387344,34,gpp,oakley2014,12
13_gregoire2017,21.4628,unknown,4.541086822348485e-5,39.58559823145258,20,gpp,gregoire2017,13
13_gregoire2017,21.4628,unknown,8.351146333333334e-5,38.66239587389746,27,gpp,gregoire2017,13
13_gregoire2017,21.4628,unknown,3.293937400378788e-5,38.27978928434875,30,gpp,gregoire2017,13
14_gregoire2017,24.691402,minutum,9.756787280303031e-5,39.58559823145258,20,gpp,gregoire2017,14
14_gregoire2017,24.691402,minutum,1.0006833632575759e-4,38.66239587389746,27,gpp,gregoire2017,14
14_gregoire2017,24.691402,minutum,7.442467106060608e-5,38.27978928434875,30,gpp,gregoire2017,14
15_gregoire2017,24.691402,psygmophilum,5.922185125000001e-5,39.58559823145258,20,gpp,gregoire2017,15
15_gregoire2017,24.691402,psygmophilum,1.2192267579545454e-4,38.66239587389746,27,gpp,gregoire2017,15
15_gregoire2017,24.691402,psygmophilum,5.3287379696969693e-5,38.27978928434875,30,gpp,gregoire2017,15
16_gregoire2017,7.515,unknown,2.194300609090909e-5,39.58559823145258,20,gpp,gregoire2017,16
16_gregoire2017,7.515,unknown,4.481580757575758e-5,38.66239587389746,27,gpp,gregoire2017,16
16_gregoire2017,7.515,unknown,4.227679572727273e-5,38.27978928434875,30,gpp,gregoire2017,16
16_gregoire2017,7.515,unknown,3.804077348863636e-5,37.90468111,33,gpp,gregoire2017,16
17_gregoire2017,24.691402,trenchii,1.2251010102272728e-4,39.58559823145258,20,gpp,gregoire2017,17
17_gregoire2017,24.691402,trenchii,1.558129012878788e-4,38.66239587389746,27,gpp,gregoire2017,17
17_gregoire2017,24.691402,trenchii,1.7856447643939397e-4,38.27978928434875,30,gpp,gregoire2017,17
17_gregoire2017,24.691402,trenchii,1.820129012878788e-4,37.90468111,33,gpp,gregoire2017,17
18_gregoire2017,9.2389,unknown,4.025327532575758e-5,39.58559823145258,20,gpp,gregoire2017,18
18_gregoire2017,9.2389,unknown,1.4001115109848485e-4,38.66239587389746,27,gpp,gregoire2017,18
18_gregoire2017,9.2389,unknown,1.0940940094696973e-4,38.27978928434875,30,gpp,gregoire2017,18
18_gregoire2017,9.2389,unknown,5.950450045454546e-5,37.90468111,33,gpp,gregoire2017,18
3_iglesios-prieto1992,21.4691,microadriaticum,2.7649442890778282e-8,39.58559823145258,20,gpp,iglesios-prieto1992,3
3_iglesios-prieto1992,21.4691,microadriaticum,4.7719872302158264e-8,38.92174449622782,25,gpp,iglesios-prieto1992,3
3_iglesios-prieto1992,21.4691,microadriaticum,4.028278524525833e-8,38.27978928434875,30,gpp,iglesios-prieto1992,3
3_iglesios-prieto1992,21.4691,microadriaticum,4.157666965336816e-9,37.65866662842876,35,gpp,iglesios-prieto1992,3
5_leggat2004,-18.37,sp.,6.134114105079572e-8,38.53401335397749,28,gpp,leggat2004,5
5_leggat2004,-18.37,sp.,7.74872156093307e-8,38.40648062733848,29,gpp,leggat2004,5
5_leggat2004,-18.37,sp.,6.036587846086766e-8,38.15393102597508,31,gpp,leggat2004,5
5_leggat2004,-18.37,sp.,5.0430472531066054e-8,37.90468111,33,gpp,leggat2004,5
5_leggat2004,-18.37,sp.,2.8264914650098092e-8,37.53685305369666,36,gpp,leggat2004,5
5_leggat2004,-18.37,sp.,2.390869021146718e-8,37.41582499,37,gpp,leggat2004,5
5_leggat2004,-18.37,sp.,-6.399999999999994e-10,37.29557487240984,38,gpp,leggat2004,5
5_leggat2004,-18.37,sp.,0,37.17609521560251,39,gpp,leggat2004,5
5_leggat2004,-18.37,sp.,-9.621528231959887e-10,37.05737864138695,40,gpp,leggat2004,5
