individual.ID,temp.Cat,treatment,Temp.C,umol.cm2.hr,rate.type,light_dark,fragment.ID
PV20,20,control,20.13038776,0.379430063,NP,light,PV20_L
PV20,20,control,20.0555,0.750928299,GP,light,PV20_L
PV20,22,control,22.01106122,0.384326434,R,dark,PV20_D
PV20,22,control,22.19869388,0.522530725,NP,light,PV20_L
PV20,22,control,22.10487755,0.906857159,GP,light,PV20_L
PV20,24,control,24.23906,0.447170491,R,dark,PV20_D
PV20,24,control,24.05220408,0.631422629,NP,light,PV20_L
PV20,24,control,24.14563204,1.07859312,GP,light,PV20_L
PV20,28,control,28.20940816,0.526216412,R,dark,PV20_D
PV20,28,control,27.92272,0.810899076,NP,light,PV20_L
PV20,28,control,28.06606408,1.337115488,GP,light,PV20_L
PV20,30,control,29.96691837,0.570594626,R,dark,PV20_D
PV20,30,control,29.90702041,0.605048858,NP,light,PV20_L
PV20,30,control,29.93696939,1.175643485,GP,light,PV20_L
PV20,32,control,31.86910204,0.748547364,R,dark,PV20_D
PV20,32,control,31.82063265,0.560680099,NP,light,PV20_L
PV20,32,control,31.84486735,1.309227463,GP,light,PV20_L
PV20,34,control,34.14357143,0.810617542,R,dark,PV20_D
PV20,34,control,33.77742857,0.481832199,NP,light,PV20_L
PV20,34,control,33.9605,1.292449741,GP,light,PV20_L
PV20,36,control,36.08622449,0.702748433,R,dark,PV20_D
PV20,36,control,35.8797551,0.29915835,NP,light,PV20_L
PV20,36,control,35.9829898,1.001906783,GP,light,PV20_L
PV20,37,control,36.9135102,0.61378067,R,dark,PV20_D
PV20,37,control,37.02422917,-0.284841677,NP,light,PV20_L
PV20,37,control,36.96886969,0.328938993,GP,light,PV20_L
PV20,38,control,37.81342857,0.52047562,R,dark,PV20_D
PV20,39,control,39.04673469,0.470479651,R,dark,PV20_D
PV21,20,control,20.08838,0.260204968,R,dark,PV21_D
PV21,20,control,20.50669388,0.290909783,NP,light,PV21_L
PV21,20,control,20.29753694,0.551114751,GP,light,PV21_L
PV21,22,control,22.05589796,0.261157682,R,dark,PV21_D
PV21,22,control,22.13034694,0.331423718,NP,light,PV21_L
PV21,22,control,22.09312245,0.5925814,GP,light,PV21_L
PV21,24,control,24.2922449,0.291747096,R,dark,PV21_D
PV21,24,control,23.99808163,0.490699442,NP,light,PV21_L
PV21,24,control,24.14516327,0.782446537,GP,light,PV21_L
PV21,28,control,28.1482449,0.337923705,R,dark,PV21_D
PV21,28,control,28.26159184,0.636406535,NP,light,PV21_L
PV21,28,control,28.20491837,0.97433024,GP,light,PV21_L
PV21,30,control,30.02487755,0.365830903,R,dark,PV21_D
PV21,30,control,30.08458824,0.584740212,NP,light,PV21_L
PV21,30,control,30.05473289,0.950571115,GP,light,PV21_L
PV21,32,control,31.93991837,0.399987954,R,dark,PV21_D
PV21,32,control,32.03273469,0.536095887,NP,light,PV21_L
PV21,32,control,31.98632653,0.936083842,GP,light,PV21_L
PV21,34,control,33.81738776,0.496072299,R,dark,PV21_D
PV21,34,control,34.17585714,0.296261793,NP,light,PV21_L
PV21,34,control,33.99662245,0.792334092,GP,light,PV21_L
PV21,36,control,36.06102041,0.455931551,R,dark,PV21_D
PV21,36,control,36.08004,-0.031054872,NP,light,PV21_L
PV21,36,control,36.0705302,0.424876679,GP,light,PV21_L
PV21,37,control,36.86167347,0.405968296,R,dark,PV21_D
PV21,37,control,36.97395918,-0.278436091,NP,light,PV21_L
PV21,37,control,36.91781633,0.127532205,GP,light,PV21_L
PV21,38,control,38.07797959,0.355907445,R,dark,PV21_D
PV21,39,control,38.93453061,0.329319098,R,dark,PV21_D
PV22,20,control,20.07420408,0.284219081,R,dark,PV22_D
PV22,20,control,20.30061224,0.423801785,NP,light,PV22_L
PV22,20,control,20.18740816,0.708020866,GP,light,PV22_L
PV22,22,control,22.0162449,0.342316058,R,dark,PV22_D
PV22,22,control,22.20493878,0.52572377,NP,light,PV22_L
PV22,22,control,22.11059184,0.868039828,GP,light,PV22_L
PV22,24,control,24.26382,0.415235059,R,dark,PV22_D
PV22,24,control,24.19718367,0.558081959,NP,light,PV22_L
PV22,24,control,24.23050184,0.973317018,GP,light,PV22_L
PV22,28,control,28.2214898,0.457314348,R,dark,PV22_D
PV22,28,control,28.01506,0.74659597,NP,light,PV22_L
PV22,28,control,28.1182749,1.203910318,GP,light,PV22_L
PV22,30,control,30.01,0.487110675,R,dark,PV22_D
PV22,30,control,30.08326531,0.632248334,NP,light,PV22_L
PV22,30,control,30.04663265,1.119359009,GP,light,PV22_L
PV22,32,control,31.93310204,0.549422734,R,dark,PV22_D
PV22,32,control,31.97455102,0.614163758,NP,light,PV22_L
PV22,32,control,31.95382653,1.163586492,GP,light,PV22_L
PV22,34,control,33.97208163,0.619664945,R,dark,PV22_D
PV22,34,control,33.90767347,0.375982545,NP,light,PV22_L
PV22,34,control,33.93987755,0.99564749,GP,light,PV22_L
PV22,36,control,36.2595,0.637178531,R,dark,PV22_D
PV22,36,control,36.10385714,0.019987881,NP,light,PV22_L
PV22,36,control,36.18167857,0.657166411,GP,light,PV22_L
PV22,37,control,36.93016327,0.579707313,R,dark,PV22_D
PV22,37,control,37.13020833,-0.237762956,NP,light,PV22_L
PV22,37,control,37.0301858,0.341944357,GP,light,PV22_L
PV22,38,control,37.92271429,0.45705541,R,dark,PV22_D
PV22,39,control,39.08514583,0.435968283,R,dark,PV22_D
PV23,20,control,19.85106122,0.200476633,R,dark,PV23_D
PV23,20,control,20.27059184,0.211658237,NP,light,PV23_L
PV23,20,control,20.06082653,0.41213487,GP,light,PV23_L
PV23,22,control,21.74097959,0.238394087,R,dark,PV23_D
PV23,22,control,22.17702041,0.375040865,NP,light,PV23_L
PV23,22,control,21.959,0.613434952,GP,light,PV23_L
PV23,24,control,23.75418367,0.287019078,R,dark,PV23_D
PV23,24,control,24.15004082,0.421977102,NP,light,PV23_L
PV23,24,control,23.95211224,0.70899618,GP,light,PV23_L
PV23,28,control,28.05914286,0.368385553,R,dark,PV23_D
PV23,28,control,28.073125,0.540017164,NP,light,PV23_L
PV23,28,control,28.06613393,0.908402717,GP,light,PV23_L
PV23,30,control,29.93659184,0.429852532,R,dark,PV23_D
PV23,30,control,30.00871429,0.444795157,NP,light,PV23_L
PV23,30,control,29.97265306,0.874647689,GP,light,PV23_L
PV23,32,control,31.70654717,0.446334865,R,dark,PV23_D
PV23,32,control,31.97842857,0.378286845,NP,light,PV23_L
PV23,32,control,31.84248787,0.82462171,GP,light,PV23_L
PV23,34,control,33.61155102,0.427387042,R,dark,PV23_D
PV23,34,control,34.16310204,0.204871245,NP,light,PV23_L
PV23,34,control,33.88732653,0.632258287,GP,light,PV23_L
PV23,36,control,35.77903571,0.382520484,R,dark,PV23_D
PV23,36,control,35.93304082,0.050873355,NP,light,PV23_L
PV23,36,control,35.85603827,0.433393839,GP,light,PV23_L
PV23,37,control,36.7914898,0.307294635,R,dark,PV23_D
PV23,37,control,36.76187755,-0.206717427,NP,light,PV23_L
PV23,37,control,36.77668367,0.100577208,GP,light,PV23_L
PV23,38,control,37.99369388,0.288170531,R,dark,PV23_D
PV23,39,control,38.90934694,0.23587233,R,dark,PV23_D
PV24,20,control,20.03706122,0.384925541,R,dark,PV24_D
PV24,20,control,20.25291837,0.386076375,NP,light,PV24_L
PV24,20,control,20.1449898,0.771001916,GP,light,PV24_L
PV24,22,control,21.9207551,0.393915145,R,dark,PV24_D
PV24,22,control,22.14665306,0.49569881,NP,light,PV24_L
PV24,22,control,22.03370408,0.889613956,GP,light,PV24_L
PV24,24,control,24.17066,0.444484203,R,dark,PV24_D
PV24,24,control,24.18871429,0.542757173,NP,light,PV24_L
PV24,24,control,24.17968714,0.987241376,GP,light,PV24_L
PV24,28,control,28.14287755,0.541219639,R,dark,PV24_D
PV24,28,control,27.9894,0.634428607,NP,light,PV24_L
PV24,28,control,28.06613878,1.175648245,GP,light,PV24_L
PV24,30,control,29.96314286,0.659507087,R,dark,PV24_D
PV24,30,control,30.07857143,0.615335518,NP,light,PV24_L
PV24,30,control,30.02085714,1.274842605,GP,light,PV24_L
PV24,32,control,31.86863265,0.729786012,R,dark,PV24_D
PV24,32,control,31.96763265,0.491756523,NP,light,PV24_L
PV24,32,control,31.91813265,1.221542535,GP,light,PV24_L
PV24,34,control,33.89230612,0.810102777,R,dark,PV24_D
PV24,34,control,33.95106122,0.47721164,NP,light,PV24_L
PV24,34,control,33.92168367,1.287314417,GP,light,PV24_L
PV24,36,control,35.92508163,0.735800153,R,dark,PV24_D
PV24,36,control,36.04102041,0.189640175,NP,light,PV24_L
PV24,36,control,35.98305102,0.925440328,GP,light,PV24_L
PV24,37,control,36.78789796,0.683584095,R,dark,PV24_D
PV24,37,control,36.9145,-0.211560798,NP,light,PV24_L
PV24,37,control,36.85119898,0.472023298,GP,light,PV24_L
PV24,38,control,38.12285714,0.582919185,R,dark,PV24_D
PV24,39,control,38.97802041,0.579785573,R,dark,PV24_D
PV25,20,control,20.33967347,0.564519657,R,dark,PV25_D
PV25,20,control,20.22534694,0.209271175,NP,light,PV25_L
PV25,20,control,20.2825102,0.773790833,GP,light,PV25_L
PV25,22,control,21.95857143,0.612280316,R,dark,PV25_D
PV25,22,control,22.0562449,0.388896126,NP,light,PV25_L
