tpc_grp,lichen_type,elevation_broad,latitude,species,mol_gCmin,inv_T,temp,metabolic_category,study_id
9_delprado_1995,green algae,neutral,36.834,bourgeana,-2.8912998971999993e-7,40.27249044438772,15,npp,delprado_1995
9_delprado_1995,green algae,neutral,36.834,bourgeana,-4.5420675539999995e-7,39.58559823145258,20,npp,delprado_1995
9_delprado_1995,green algae,neutral,36.834,bourgeana,-6.4286591604e-7,38.92174449622782,25,npp,delprado_1995
9_delprado_1995,green algae,neutral,36.834,bourgeana,-8.934288638399999e-7,38.27978928434875,30,npp,delprado_1995
1_domaschke_2013,green algae,neutral,49.58,aculeata,1.2125786159999998e-7,42.4840495022893,0,npp,domaschke_2013
1_domaschke_2013,green algae,neutral,49.58,aculeata,3.7886792447999996e-7,41.720359955241136,5,npp,domaschke_2013
1_domaschke_2013,green algae,neutral,49.58,aculeata,7.532075471999998e-7,40.9836416088657,10,npp,domaschke_2013
1_domaschke_2013,green algae,neutral,49.58,aculeata,6.525786163199999e-7,40.27249044438772,15,npp,domaschke_2013
1_domaschke_2013,green algae,neutral,49.58,aculeata,9.383647798799999e-7,39.58559823145258,20,npp,domaschke_2013
1_domaschke_2013,green algae,neutral,49.58,aculeata,8.659119496799999e-7,38.92174449622782,25,npp,domaschke_2013
1_domaschke_2013,green algae,neutral,49.58,aculeata,2.460377358e-7,38.27978928434875,30,npp,domaschke_2013
2_domaschke_2013,green algae,neutral,41.39,aculeata,1.5345911951999996e-7,42.4840495022893,0,npp,domaschke_2013
2_domaschke_2013,green algae,neutral,41.39,aculeata,3.0238993716e-7,41.720359955241136,5,npp,domaschke_2013
2_domaschke_2013,green algae,neutral,41.39,aculeata,6.203773585199999e-7,40.9836416088657,10,npp,domaschke_2013
2_domaschke_2013,green algae,neutral,41.39,aculeata,5.116981131599999e-7,40.27249044438772,15,npp,domaschke_2013
2_domaschke_2013,green algae,neutral,41.39,aculeata,6.1232704404e-7,39.58559823145258,20,npp,domaschke_2013
2_domaschke_2013,green algae,neutral,41.39,aculeata,4.4327044019999997e-7,38.92174449622782,25,npp,domaschke_2013
2_domaschke_2013,green algae,neutral,41.39,aculeata,1.4138364779999997e-7,38.27978928434875,30,npp,domaschke_2013
3_domaschke_2013,green algae,neutral,-62.24,aculeata,1.6603773599999995e-8,42.4840495022893,0,npp,domaschke_2013
3_domaschke_2013,green algae,neutral,-62.24,aculeata,4.477987416e-8,41.720359955241136,5,npp,domaschke_2013
3_domaschke_2013,green algae,neutral,-62.24,aculeata,1.0918238987999997e-7,40.9836416088657,10,npp,domaschke_2013
3_domaschke_2013,green algae,neutral,-62.24,aculeata,9.710691827999999e-8,40.27249044438772,15,npp,domaschke_2013
3_domaschke_2013,green algae,neutral,-62.24,aculeata,2.062893084e-8,39.58559823145258,20,npp,domaschke_2013
3_domaschke_2013,green algae,neutral,-62.24,aculeata,-7.194968555999999e-8,38.92174449622782,25,npp,domaschke_2013
3_domaschke_2013,green algae,neutral,-62.24,aculeata,-1.0012578611999999e-7,38.27978928434875,30,npp,domaschke_2013
4_domaschke_2013,green algae,neutral,78.1,aculeata,8.55345912e-9,42.4840495022893,0,npp,domaschke_2013
4_domaschke_2013,green algae,neutral,78.1,aculeata,8.503144656e-8,41.720359955241136,5,npp,domaschke_2013
4_domaschke_2013,green algae,neutral,78.1,aculeata,1.2930817608e-7,40.9836416088657,10,npp,domaschke_2013
4_domaschke_2013,green algae,neutral,78.1,aculeata,6.490566036e-8,40.27249044438772,15,npp,domaschke_2013
4_domaschke_2013,green algae,neutral,78.1,aculeata,6.088050312e-8,39.58559823145258,20,npp,domaschke_2013
