paper_id,study_id,source,org_level,genus,species,temp,temp_units,response_def,response_value,response_units ,gas,gas_unit,mass/area,time,error,error_type,sample_size,realm,exp_design,time_point,time_units,add_trt,add_value,ppfd,avg_ppfd,ppfd_units,metabolic_category,elevation_metre,latitude,latitude_broad,elevation_broad,lichen_type,npp_value,r_value,npp_error,r_error,n
colesie2018,colesie2018,figure 3,pop,placopsis,contortuplicata,23,C,net photosynthesis,0.08695652,umol CO2 *g^-1 *s^-1,co2,umol,g,sec,,SD,,T,lab,1,week,,,500,500,umol *m^-2 *s^-1,npp,,-62,antarctic,neutral,cyanobacteria,0.08695652,-4.9265176,0.66666667,0.94888179,3
delprado_1995,delprado_1995,figure 2,pop,teloschistes,lacunosus,0,C,dark respiration ,-0.414784394,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,,1200,1200,umol *m^-2 *s^-1,r,,36.834,temperate,neutral,green algae,3.626283368,-0.414784394,,,
delprado_1995,delprado_1995,figure 2,pop,teloschistes,lacunosus,5,C,dark respiration ,-0.661190965,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,,1200,1200,umol *m^-2 *s^-1,r,,36.834,temperate,neutral,green algae,5.967145791,-0.661190965,,,
delprado_1995,delprado_1995,figure 2,pop,teloschistes,lacunosus,10,C,dark respiration ,-1.055441478,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,,1200,1200,umol *m^-2 *s^-1,r,,36.834,temperate,neutral,green algae,8.406570842,-1.055441478,,,
delprado_1995,delprado_1995,figure 2,pop,teloschistes,lacunosus,15,C,dark respiration ,-2.583162218,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,,1200,1200,umol *m^-2 *s^-1,r,,36.834,temperate,neutral,green algae,10.27926078,-2.583162218,,,
delprado_1995,delprado_1995,figure 2,pop,teloschistes,lacunosus,20,C,dark respiration ,-3.618069815,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,,1200,1200,umol *m^-2 *s^-1,r,,36.834,temperate,neutral,green algae,11.90554415,-3.618069815,,,
delprado_1995,delprado_1995,figure 2,pop,teloschistes,lacunosus,25,C,dark respiration ,-4.012320329,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,,1200,1200,umol *m^-2 *s^-1,r,,36.834,temperate,neutral,green algae,11.80698152,-4.012320329,,,
delprado_1995,delprado_1995,figure 2,pop,teloschistes,lacunosus,30,C,dark respiration ,-4.258726899,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,,1200,1200,umol *m^-2 *s^-1,r,,36.834,temperate,neutral,green algae,8.997946612,-4.258726899,,,
delprado_1995,delprado_1995,figure 2,pop,ramalina,bourgeana,0,C,dark respiration ,-0.468781986,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,,1200,1200,umol *m^-2 *s^-1,r,,36.834,temperate,neutral,green algae,1.668372569,-0.468781986,,,
delprado_1995,delprado_1995,figure 2,pop,ramalina,bourgeana,5,C,dark respiration ,-0.714431934,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,,1200,1200,umol *m^-2 *s^-1,r,,36.834,temperate,neutral,green algae,3.48618219,-0.714431934,,,
delprado_1995,delprado_1995,figure 2,pop,ramalina,bourgeana,10,C,dark respiration ,-1.303991812,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,,1200,1200,umol *m^-2 *s^-1,r,,36.834,temperate,neutral,green algae,8.423746162,-1.303991812,,,
delprado_1995,delprado_1995,figure 2,pop,ramalina,bourgeana,15,C,dark respiration ,-2.409416581,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,,1200,1200,umol *m^-2 *s^-1,r,,36.834,temperate,neutral,green algae,10.11873081,-2.409416581,,,
delprado_1995,delprado_1995,figure 2,pop,ramalina,bourgeana,20,C,dark respiration ,-3.785056295,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,,1200,1200,umol *m^-2 *s^-1,r,,36.834,temperate,neutral,green algae,8.178096213,-3.785056295,,,
delprado_1995,delprado_1995,figure 2,pop,ramalina,bourgeana,25,C,dark respiration ,-5.357215967,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,,1200,1200,umol *m^-2 *s^-1,r,,36.834,temperate,neutral,green algae,5.74616172,-5.357215967,,,
delprado_1995,delprado_1995,figure 2,pop,ramalina,bourgeana,30,C,dark respiration ,-7.445240532,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,,1200,1200,umol *m^-2 *s^-1,r,,36.834,temperate,neutral,green algae,5.279426817,-7.445240532,,,
lange2000,lange2000,figure 7 ,pop,leptogium ,phyllocarpum,13,C,net photosynthesis,6.750330251,nmol CO2 * mg^-1 *s^-1,co2,nmol,mg,sec,,,,T,lab,,,,,300,300,umol *m^-2 *s^-1,npp,1100,8,tropical,high,cyanobacteria,6.750330251,-6.06340819,,,
lange2000,lange2000,figure 7 ,pop,leptogium ,phyllocarpum,18,C,net photosynthesis,19.63011889,nmol CO2 * mg^-1 *s^-1,co2,nmol,mg,sec,,,,T,lab,,,,,300,300,umol *m^-2 *s^-1,npp,1100,8,tropical,high,cyanobacteria,19.63011889,-8.969616909,,,
lange2000,lange2000,figure 7 ,pop,leptogium ,phyllocarpum,19,C,net photosynthesis,19.03566711,nmol CO2 * mg^-1 *s^-1,co2,nmol,mg,sec,,,,T,lab,,,,,300,300,umol *m^-2 *s^-1,npp,1100,8,tropical,high,cyanobacteria,19.03566711,-2.49669749,,,
lange2000,lange2000,figure 7 ,pop,leptogium ,phyllocarpum,22,C,net photosynthesis,25.64068692,nmol CO2 * mg^-1 *s^-1,co2,nmol,mg,sec,,,,T,lab,,,,,300,300,umol *m^-2 *s^-1,npp,1100,8,tropical,high,cyanobacteria,25.64068692,-11.34742404,,,
lange2000,lange2000,figure 7 ,pop,leptogium ,phyllocarpum,25,C,net photosynthesis,24.84808454,nmol CO2 * mg^-1 *s^-1,co2,nmol,mg,sec,,,,T,lab,,,,,300,300,umol *m^-2 *s^-1,npp,1100,8,tropical,high,cyanobacteria,24.84808454,-14.64993395,,,
lange2000,lange2000,figure 7 ,pop,leptogium ,phyllocarpum,29,C,net photosynthesis,18.11096433,nmol CO2 * mg^-1 *s^-1,co2,nmol,mg,sec,,,,T,lab,,,,,300,300,umol *m^-2 *s^-1,npp,1100,8,tropical,high,cyanobacteria,18.11096433,-9.498018494,,,
lange2000,lange2000,figure 7 ,pop,leptogium ,phyllocarpum,39,C,net photosynthesis,23.26287979,nmol CO2 * mg^-1 *s^-1,co2,nmol,mg,sec,,,,T,lab,,,,,300,300,umol *m^-2 *s^-1,npp,1100,8,tropical,high,cyanobacteria,23.26287979,-14.38573316,,,
lange2000,lange2000,figure 7 ,pop,leptogium ,phyllocarpum,43,C,net photosynthesis,22.07397622,nmol CO2 * mg^-1 *s^-1,co2,nmol,mg,sec,,,,T,lab,,,,,300,300,umol *m^-2 *s^-1,npp,1100,8,tropical,high,cyanobacteria,22.07397622,-18.87714663,,,
lange2000,lange2000,figure 7 ,pop,leptogium ,phyllocarpum,46,C,net photosynthesis,19.1677675,nmol CO2 * mg^-1 *s^-1,co2,nmol,mg,sec,,,,T,lab,,,,,300,300,umol *m^-2 *s^-1,npp,1100,8,tropical,high,cyanobacteria,19.1677675,-21.98150594,,,
lange2000,lange2000,figure 7 ,pop,leptogium ,phyllocarpum,50,C,net photosynthesis,6.287978864,nmol CO2 * mg^-1 *s^-1,co2,nmol,mg,sec,,,,T,lab,,,,,300,300,umol *m^-2 *s^-1,npp,1100,8,tropical,high,cyanobacteria,6.287978864,-22.04755614,,,
