paper_id,study_id,source,org_level,genus,species,temp,temp_units,response_def,response_value,response_units ,gas,gas_unit,mass/area,time,error,error_type,sample_size,realm,exp_design,time_point,time_units,add_trt,add_value,ppfd,avg_ppfd,ppfd_units,metabolic_category,elevation_metre,latitude,latitude_broad,elevation_broad,lichen_type
aubert_2007,aubert_2007,figure 1,pop,xanthoria ,elegans,2,C,net photosynthesis,410.5516387,nmol CO2 * min^-1 *g^-1 dry wt,co2,nmol,g,min,15.66852368,SD,5,T,lab,,,,,500,500,umol *m^-2 *s^-1,npp,2800,44.6008723,temperate,high,green algae
aubert_2007,aubert_2007,figure 1,pop,xanthoria ,elegans,5,C,net photosynthesis,643.6552891,nmol CO2 * min^-1 *g^-1 dry wt,co2,nmol,g,min,20.89240614,SD,5,T,lab,,,,,500,500,umol *m^-2 *s^-1,npp,2800,44.6008723,temperate,high,green algae
aubert_2007,aubert_2007,figure 1,pop,xanthoria ,elegans,10,C,net photosynthesis,782.6207667,nmol CO2 * min^-1 *g^-1 dry wt,co2,nmol,g,min,48.74755934,SD,5,T,lab,,,,,500,500,umol *m^-2 *s^-1,npp,2800,44.6008723,temperate,high,green algae
aubert_2007,aubert_2007,figure 1,pop,xanthoria ,elegans,15,C,net photosynthesis,679.5925184,nmol CO2 * min^-1 *g^-1 dry wt,co2,nmol,g,min,54.83983287,SD,5,T,lab,,,,,500,500,umol *m^-2 *s^-1,npp,2800,44.6008723,temperate,high,green algae
aubert_2007,aubert_2007,figure 1,pop,xanthoria ,elegans,20,C,net photosynthesis,499.9646813,nmol CO2 * min^-1 *g^-1 dry wt,co2,nmol,g,min,74.86072423,SD,5,T,lab,,,,,500,500,umol *m^-2 *s^-1,npp,2800,44.6008723,temperate,high,green algae
aubert_2007,aubert_2007,figure 1,pop,xanthoria ,elegans,25,C,net photosynthesis,233.2915728,nmol CO2 * min^-1 *g^-1 dry wt,co2,nmol,g,min,81.82451253,SD,5,T,lab,,,,,500,500,umol *m^-2 *s^-1,npp,2800,44.6008723,temperate,high,green algae
aubert_2007,aubert_2007,figure 1,pop,xanthoria ,elegans,30,C,net photosynthesis,-64.72691288,nmol CO2 * min^-1 *g^-1 dry wt,co2,nmol,g,min,92.27019499,SD,5,T,lab,,,,,500,500,umol *m^-2 *s^-1,npp,2800,44.6008723,temperate,high,green algae
aubert_2007,aubert_2007,figure 1,pop,xanthoria ,elegans,2,C,respiration,10.1379763,nmol CO2 * min^-1 *g^-1 dry wt,co2,nmol,g,min,13.9275766,SD,5,T,lab,,,,,0,0,umol *m^-2 *s^-1,r,2800,44.6008723,temperate,high,green algae
aubert_2007,aubert_2007,figure 1,pop,xanthoria ,elegans,5,C,respiration,44.76949528,nmol CO2 * min^-1 *g^-1 dry wt,co2,nmol,g,min,20.89240614,SD,5,T,lab,,,,,0,0,umol *m^-2 *s^-1,r,2800,44.6008723,temperate,high,green algae
aubert_2007,aubert_2007,figure 1,pop,xanthoria ,elegans,10,C,respiration,148.9181138,nmol CO2 * min^-1 *g^-1 dry wt,co2,nmol,g,min,47.87604457,SD,5,T,lab,,,,,0,0,umol *m^-2 *s^-1,r,2800,44.6008723,temperate,high,green algae
aubert_2007,aubert_2007,figure 1,pop,xanthoria ,elegans,15,C,respiration,329.6642388,nmol CO2 * min^-1 *g^-1 dry wt,co2,nmol,g,min,55.71030641,SD,5,T,lab,,,,,0,0,umol *m^-2 *s^-1,r,2800,44.6008723,temperate,high,green algae
aubert_2007,aubert_2007,figure 1,pop,xanthoria ,elegans,20,C,respiration,597.4577175,nmol CO2 * min^-1 *g^-1 dry wt,co2,nmol,g,min,73.11977716,SD,5,T,lab,,,,,0,0,umol *m^-2 *s^-1,r,2800,44.6008723,temperate,high,green algae
aubert_2007,aubert_2007,figure 1,pop,xanthoria ,elegans,25,C,respiration,875.7010436,nmol CO2 * min^-1 *g^-1 dry wt,co2,nmol,g,min,81.82451253,SD,5,T,lab,,,,,0,0,umol *m^-2 *s^-1,r,2800,44.6008723,temperate,high,green algae
aubert_2007,aubert_2007,figure 1,pop,xanthoria ,elegans,30,C,respiration,1124.342022,nmol CO2 * min^-1 *g^-1 dry wt,co2,nmol,g,min,90.53028915,SD,5,T,lab,,,,,0,0,umol *m^-2 *s^-1,r,2800,44.6008723,temperate,high,green algae
colesie2018,colesie2018,figure 3,pop,stereocaulon,alpinum,5,C,net photosynthesis,1.91304348,umol CO2 *g^-1 *s^-1,co2,umol,g,sec,0.52173913,SD,3,T,lab,1,week,,,500,500,umol *m^-2 *s^-1,npp,,-62,antarctic,neutral,cyanobacteria
colesie2018,colesie2018,figure 3,pop,stereocaulon,alpinum,15,C,net photosynthesis,2.14492754,umol CO2 *g^-1 *s^-1,co2,umol,g,sec,0.2173913,SD,3,T,lab,1,week,,,500,500,umol *m^-2 *s^-1,npp,,-62,antarctic,neutral,cyanobacteria
colesie2018,colesie2018,figure 3,pop,stereocaulon,alpinum,23,C,net photosynthesis,1.91304348,umol CO2 *g^-1 *s^-1,co2,umol,g,sec,1.02898551,SD,3,T,lab,1,week,,,500,500,umol *m^-2 *s^-1,npp,,-62,antarctic,neutral,cyanobacteria
colesie2018,colesie2018,figure 3,pop,usnea ,aurantiaco-atra,5,C,net photosynthesis,0.75362319,umol CO2 *g^-1 *s^-1,co2,umol,g,sec,0.31884058,SD,3,T,lab,1,week,,,500,500,umol *m^-2 *s^-1,npp,,-62,antarctic,neutral,green algae
colesie2018,colesie2018,figure 3,pop,usnea ,aurantiaco-atra,15,C,net photosynthesis,0.92753623,umol CO2 *g^-1 *s^-1,co2,umol,g,sec,0.92753623,SD,3,T,lab,1,week,,,500,500,umol *m^-2 *s^-1,npp,,-62,antarctic,neutral,green algae
colesie2018,colesie2018,figure 3,pop,usnea ,aurantiaco-atra,23,C,net photosynthesis,-0.8115942,umol CO2 *g^-1 *s^-1,co2,umol,g,sec,0.39130435,SD,3,T,lab,1,week,,,500,500,umol *m^-2 *s^-1,npp,,-62,antarctic,neutral,green algae
colesie2018,colesie2018,figure 3,pop,placopsis,contortuplicata,5,C,net photosynthesis,1.27536232,umol CO2 *g^-1 *s^-1,co2,umol,g,sec,0.23188406,SD,3,T,lab,1,week,,,500,500,umol *m^-2 *s^-1,npp,,-62,antarctic,neutral,cyanobacteria
colesie2018,colesie2018,figure 3,pop,placopsis,contortuplicata,15,C,net photosynthesis,1.56521739,umol CO2 *g^-1 *s^-1,co2,umol,g,sec,0.53623188,SD,3,T,lab,1,week,,,500,500,umol *m^-2 *s^-1,npp,,-62,antarctic,neutral,cyanobacteria
colesie2018,colesie2018,figure 3,pop,placopsis,contortuplicata,23,C,net photosynthesis,0.08695652,umol CO2 *g^-1 *s^-1,co2,umol,g,sec,0.66666667,SD,3,T,lab,1,week,,,500,500,umol *m^-2 *s^-1,npp,,-62,antarctic,neutral,cyanobacteria
colesie2018,colesie2018,figure 3,pop,stereocaulon,alpinum,5,C,respiration,-0.7859425,umol CO2 *g^-1 *s^-1,co2,umol,g,sec,0.2971246,SD,3,T,lab,1,week,,,0,0,umol *m^-2 *s^-1,r,,-62,antarctic,neutral,cyanobacteria
colesie2018,colesie2018,figure 3,pop,stereocaulon,alpinum,15,C,respiration,-1.9361022,umol CO2 *g^-1 *s^-1,co2,umol,g,sec,0.1341853,SD,3,T,lab,1,week,,,0,0,umol *m^-2 *s^-1,r,,-62,antarctic,neutral,cyanobacteria
colesie2018,colesie2018,figure 3,pop,stereocaulon,alpinum,23,C,respiration,-2.4728435,umol CO2 *g^-1 *s^-1,co2,umol,g,sec,0.84345048,SD,3,T,lab,1,week,,,0,0,umol *m^-2 *s^-1,r,,-62,antarctic,neutral,cyanobacteria
colesie2018,colesie2018,figure 3,pop,usnea ,aurantiaco-atra,5,C,respiration,-0.4025559,umol CO2 *g^-1 *s^-1,co2,umol,g,sec,0.14376997,SD,3,T,lab,1,week,,,0,0,umol *m^-2 *s^-1,r,,-62,antarctic,neutral,green algae
colesie2018,colesie2018,figure 3,pop,usnea ,aurantiaco-atra,15,C,respiration,-0.9776358,umol CO2 *g^-1 *s^-1,co2,umol,g,sec,0.32587859,SD,3,T,lab,1,week,,,0,0,umol *m^-2 *s^-1,r,,-62,antarctic,neutral,green algae
colesie2018,colesie2018,figure 3,pop,usnea ,aurantiaco-atra,23,C,respiration,-3.1054313,umol CO2 *g^-1 *s^-1,co2,umol,g,sec,1.53354633,SD,3,T,lab,1,week,,,0,0,umol *m^-2 *s^-1,r,,-62,antarctic,neutral,green algae
colesie2018,colesie2018,figure 3,pop,placopsis,contortuplicata,5,C,respiration,-0.8626198,umol CO2 *g^-1 *s^-1,co2,umol,g,sec,0.23961661,SD,3,T,lab,1,week,,,0,0,umol *m^-2 *s^-1,r,,-62,antarctic,neutral,cyanobacteria
colesie2018,colesie2018,figure 3,pop,placopsis,contortuplicata,15,C,respiration,-3.4696486,umol CO2 *g^-1 *s^-1,co2,umol,g,sec,0.11501597,SD,3,T,lab,1,week,,,0,0,umol *m^-2 *s^-1,r,,-62,antarctic,neutral,cyanobacteria
colesie2018,colesie2018,figure 3,pop,placopsis,contortuplicata,23,C,respiration,-4.9265176,umol CO2 *g^-1 *s^-1,co2,umol,g,sec,0.94888179,SD,3,T,lab,1,week,,,0,0,umol *m^-2 *s^-1,r,,-62,antarctic,neutral,cyanobacteria
delprado_1995,delprado_1995,figure 2,pop,teloschistes,lacunosus,0,C,dark respiration ,-0.414784394,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,,0,0,umol *m^-2 *s^-1,r,,36.834,temperate,neutral,green algae
delprado_1995,delprado_1995,figure 2,pop,teloschistes,lacunosus,5,C,dark respiration ,-0.661190965,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,,0,0,umol *m^-2 *s^-1,r,,36.834,temperate,neutral,green algae
delprado_1995,delprado_1995,figure 2,pop,teloschistes,lacunosus,10,C,dark respiration ,-1.055441478,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,,0,0,umol *m^-2 *s^-1,r,,36.834,temperate,neutral,green algae
delprado_1995,delprado_1995,figure 2,pop,teloschistes,lacunosus,15,C,dark respiration ,-2.583162218,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,,0,0,umol *m^-2 *s^-1,r,,36.834,temperate,neutral,green algae
delprado_1995,delprado_1995,figure 2,pop,teloschistes,lacunosus,20,C,dark respiration ,-3.618069815,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,,0,0,umol *m^-2 *s^-1,r,,36.834,temperate,neutral,green algae
delprado_1995,delprado_1995,figure 2,pop,teloschistes,lacunosus,25,C,dark respiration ,-4.012320329,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,,0,0,umol *m^-2 *s^-1,r,,36.834,temperate,neutral,green algae
delprado_1995,delprado_1995,figure 2,pop,teloschistes,lacunosus,30,C,dark respiration ,-4.258726899,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,,0,0,umol *m^-2 *s^-1,r,,36.834,temperate,neutral,green algae
delprado_1995,delprado_1995,figure 2,pop,teloschistes,lacunosus,0,C,net photosynthesis,0.718685832,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,,25,25,umol *m^-2 *s^-1,npp,,36.834,temperate,neutral,green algae
delprado_1995,delprado_1995,figure 2,pop,teloschistes,lacunosus,5,C,net photosynthesis,0.718685832,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,,25,25,umol *m^-2 *s^-1,npp,,36.834,temperate,neutral,green algae
delprado_1995,delprado_1995,figure 2,pop,teloschistes,lacunosus,10,C,net photosynthesis,0.176591376,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,,25,25,umol *m^-2 *s^-1,npp,,36.834,temperate,neutral,green algae
delprado_1995,delprado_1995,figure 2,pop,teloschistes,lacunosus,15,C,net photosynthesis,-0.488706366,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,,25,25,umol *m^-2 *s^-1,npp,,36.834,temperate,neutral,green algae
delprado_1995,delprado_1995,figure 2,pop,teloschistes,lacunosus,20,C,net photosynthesis,-1.006160164,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,,25,25,umol *m^-2 *s^-1,npp,,36.834,temperate,neutral,green algae
delprado_1995,delprado_1995,figure 2,pop,teloschistes,lacunosus,25,C,net photosynthesis,-1.770020534,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,,25,25,umol *m^-2 *s^-1,npp,,36.834,temperate,neutral,green algae
delprado_1995,delprado_1995,figure 2,pop,teloschistes,lacunosus,30,C,net photosynthesis,-2.459958932,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,,25,25,umol *m^-2 *s^-1,npp,,36.834,temperate,neutral,green algae
delprado_1995,delprado_1995,figure 2,pop,teloschistes,lacunosus,0,C,net photosynthesis,1.359342916,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,,50,50,umol *m^-2 *s^-1,npp,,36.834,temperate,neutral,green algae
delprado_1995,delprado_1995,figure 2,pop,teloschistes,lacunosus,5,C,net photosynthesis,1.457905544,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,,50,50,umol *m^-2 *s^-1,npp,,36.834,temperate,neutral,green algae
delprado_1995,delprado_1995,figure 2,pop,teloschistes,lacunosus,10,C,net photosynthesis,1.655030801,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,,50,50,umol *m^-2 *s^-1,npp,,36.834,temperate,neutral,green algae
delprado_1995,delprado_1995,figure 2,pop,teloschistes,lacunosus,15,C,net photosynthesis,0.81724846,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,,50,50,umol *m^-2 *s^-1,npp,,36.834,temperate,neutral,green algae
delprado_1995,delprado_1995,figure 2,pop,teloschistes,lacunosus,20,C,net photosynthesis,-0.143737166,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,,50,50,umol *m^-2 *s^-1,npp,,36.834,temperate,neutral,green algae
delprado_1995,delprado_1995,figure 2,pop,teloschistes,lacunosus,25,C,net photosynthesis,-0.858316222,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,,50,50,umol *m^-2 *s^-1,npp,,36.834,temperate,neutral,green algae
delprado_1995,delprado_1995,figure 2,pop,teloschistes,lacunosus,30,C,net photosynthesis,-1.474332649,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,,50,50,umol *m^-2 *s^-1,npp,,36.834,temperate,neutral,green algae
delprado_1995,delprado_1995,figure 2,pop,teloschistes,lacunosus,0,C,net photosynthesis,2.147843943,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,,100,100,umol *m^-2 *s^-1,npp,,36.834,temperate,neutral,green algae
delprado_1995,delprado_1995,figure 2,pop,teloschistes,lacunosus,5,C,net photosynthesis,2.813141684,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,,100,100,umol *m^-2 *s^-1,npp,,36.834,temperate,neutral,green algae
delprado_1995,delprado_1995,figure 2,pop,teloschistes,lacunosus,10,C,net photosynthesis,3.084188912,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,,100,100,umol *m^-2 *s^-1,npp,,36.834,temperate,neutral,green algae
delprado_1995,delprado_1995,figure 2,pop,teloschistes,lacunosus,15,C,net photosynthesis,2.911704312,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,,100,100,umol *m^-2 *s^-1,npp,,36.834,temperate,neutral,green algae
delprado_1995,delprado_1995,figure 2,pop,teloschistes,lacunosus,20,C,net photosynthesis,2.616016427,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,,100,100,umol *m^-2 *s^-1,npp,,36.834,temperate,neutral,green algae
delprado_1995,delprado_1995,figure 2,pop,teloschistes,lacunosus,25,C,net photosynthesis,1.260780287,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,,100,100,umol *m^-2 *s^-1,npp,,36.834,temperate,neutral,green algae
delprado_1995,delprado_1995,figure 2,pop,teloschistes,lacunosus,30,C,net photosynthesis,0.275154004,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,,100,100,umol *m^-2 *s^-1,npp,,36.834,temperate,neutral,green algae
delprado_1995,delprado_1995,figure 2,pop,teloschistes,lacunosus,0,C,net photosynthesis,2.640657084,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,,200,200,umol *m^-2 *s^-1,npp,,36.834,temperate,neutral,green algae
delprado_1995,delprado_1995,figure 2,pop,teloschistes,lacunosus,5,C,net photosynthesis,4.069815195,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,,200,200,umol *m^-2 *s^-1,npp,,36.834,temperate,neutral,green algae
delprado_1995,delprado_1995,figure 2,pop,teloschistes,lacunosus,10,C,net photosynthesis,5.154004107,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,,200,200,umol *m^-2 *s^-1,npp,,36.834,temperate,neutral,green algae
delprado_1995,delprado_1995,figure 2,pop,teloschistes,lacunosus,15,C,net photosynthesis,5.326488706,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,,200,200,umol *m^-2 *s^-1,npp,,36.834,temperate,neutral,green algae
delprado_1995,delprado_1995,figure 2,pop,teloschistes,lacunosus,20,C,net photosynthesis,5.006160164,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,,200,200,umol *m^-2 *s^-1,npp,,36.834,temperate,neutral,green algae
delprado_1995,delprado_1995,figure 2,pop,teloschistes,lacunosus,25,C,net photosynthesis,4.069815195,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,,200,200,umol *m^-2 *s^-1,npp,,36.834,temperate,neutral,green algae
delprado_1995,delprado_1995,figure 2,pop,teloschistes,lacunosus,30,C,net photosynthesis,2.616016427,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,,200,200,umol *m^-2 *s^-1,npp,,36.834,temperate,neutral,green algae
delprado_1995,delprado_1995,figure 2,pop,teloschistes,lacunosus,0,C,net photosynthesis,2.985626283,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,,400,400,umol *m^-2 *s^-1,npp,,36.834,temperate,neutral,green algae
delprado_1995,delprado_1995,figure 2,pop,teloschistes,lacunosus,5,C,net photosynthesis,5.055441478,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,,400,400,umol *m^-2 *s^-1,npp,,36.834,temperate,neutral,green algae
delprado_1995,delprado_1995,figure 2,pop,teloschistes,lacunosus,10,C,net photosynthesis,6.583162218,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,,400,400,umol *m^-2 *s^-1,npp,,36.834,temperate,neutral,green algae
delprado_1995,delprado_1995,figure 2,pop,teloschistes,lacunosus,15,C,net photosynthesis,7.889117043,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,,400,400,umol *m^-2 *s^-1,npp,,36.834,temperate,neutral,green algae
delprado_1995,delprado_1995,figure 2,pop,teloschistes,lacunosus,20,C,net photosynthesis,7.987679671,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,,400,400,umol *m^-2 *s^-1,npp,,36.834,temperate,neutral,green algae
delprado_1995,delprado_1995,figure 2,pop,teloschistes,lacunosus,25,C,net photosynthesis,6.804928131,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,,400,400,umol *m^-2 *s^-1,npp,,36.834,temperate,neutral,green algae
delprado_1995,delprado_1995,figure 2,pop,teloschistes,lacunosus,30,C,net photosynthesis,5.055441478,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,,400,400,umol *m^-2 *s^-1,npp,,36.834,temperate,neutral,green algae
delprado_1995,delprado_1995,figure 2,pop,teloschistes,lacunosus,0,C,net photosynthesis,3.478439425,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,,800,800,umol *m^-2 *s^-1,npp,,36.834,temperate,neutral,green algae
delprado_1995,delprado_1995,figure 2,pop,teloschistes,lacunosus,5,C,net photosynthesis,5.794661191,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,,,800,800,umol *m^-2 *s^-1,npp,,36.834,temperate,neutral,green algae
